line_id,invoice_id,product_id,quantity,unit_price,line_total,discount_pct
L000079,INV00018,P0092,9,4993.95,44945.55,5
L000080,INV00018,P0309,6,225.77,1354.62,10
L000081,INV00018,P0186,24,9076.32,217831.68,15
L000082,INV00019,P0156,46,3700.33,170215.18,10
L000083,INV00019,P0492,36,7886.23,283904.28,5
L000084,INV00019,P0273,4,4053.85,16215.4,0
L000085,INV00019,P0061,29,9709.1,281563.9,0
L000086,INV00019,P0409,31,707.44,21930.64,0
L000087,INV00020,P0146,1,5960.88,5960.88,0
L000088,INV00021,P0114,19,2534.95,48164.05,0
L000089,INV00021,P0474,39,7432.74,289876.86,5
L000090,INV00021,P0334,49,4649.17,227809.33,15
L000091,INV00021,P0286,5,3324.76,16623.8,0
L000092,INV00021,P0199,19,4479.11,85103.09,0
L000093,INV00021,P0250,39,586.54,22875.06,0
L000094,INV00022,P0325,17,9305.74,158197.58,15
L000095,INV00022,P0475,47,4687.53,220313.91,15
L000096,INV00022,P0110,13,2988.63,38852.19,0
L000097,INV00023,P0043,16,6072.39,97158.24,0
L000098,INV00023,P0103,10,6706.47,67064.7,5
L000099,INV00024,P0024,14,8103.61,113450.54,15
L000100,INV00024,P0199,36,4479.11,161247.96,5
L000101,INV00025,P0249,1,7061.57,7061.57,10
L000102,INV00025,P0366,22,7093.72,156061.84,5
L000103,INV00025,P0187,17,10180.03,173060.51,0
L000104,INV00025,P0111,26,1391.45,36177.7,10
L000105,INV00025,P0141,9,11056.1,99504.9,0
L000106,INV00026,P0500,14,1922.81,26919.34,0
L000107,INV00026,P0378,5,13559.25,67796.25,0
L000108,INV00027,P0405,13,3896.37,50652.81,10
L000109,INV00027,P0239,33,8994.26,296810.58,5
L000110,INV00027,P0410,13,4124.66,53620.58,0
L000111,INV00027,P0417,37,2823.08,104453.96,0
L000112,INV00027,P0158,49,3027.18,148331.82,15
L000113,INV00027,P0433,47,4282.37,201271.39,5
L000114,INV00028,P0160,42,773.13,32471.46,20
L000115,INV00029,P0273,49,4053.85,198638.65,0
L000116,INV00029,P0404,3,1835.26,5505.78,10
L000117,INV00029,P0050,4,386.32,1545.28,0
L000118,INV00029,P0293,46,5903.57,271564.22,0
L000119,INV00029,P0417,16,2823.08,45169.28,0
L000120,INV00030,P0214,12,7605.68,91268.16,5
L000121,INV00031,P0186,31,9076.32,281365.92,0
L000122,INV00031,P0302,31,8484.05,263005.55,0
L000123,INV00031,P0489,45,13778.52,620033.4,0
L000124,INV00031,P0317,46,5205.65,239459.9,20
L000125,INV00031,P0080,7,5399.26,37794.82,15
L000126,INV00032,P0493,11,10987.62,120863.82,0
L000127,INV00033,P0035,4,5946.44,23785.76,0
L000128,INV00034,P0150,28,3998.73,111964.44,0
L000129,INV00034,P0356,43,1128.35,48519.05,10
L000130,INV00035,P0002,42,11096.75,466063.5,5
L000131,INV00035,P0427,42,6492.35,272678.7,0
L000132,INV00035,P0337,39,4284.95,167113.05,0
L000133,INV00036,P0338,23,10874.49,250113.27,5
L000134,INV00036,P0242,11,6382.64,70209.04,0
L000135,INV00036,P0462,16,7553.97,120863.52,0
L000136,INV00036,P0254,7,247.38,1731.66,5
L000137,INV00036,P0176,46,2045.55,94095.3,5
L000138,INV00036,P0476,43,5218.02,224374.86,10
L000139,INV00037,P0268,23,5715.91,131465.93,0
L000140,INV00037,P0254,5,247.38,1236.9,5
L000141,INV00037,P0059,36,861.56,31016.16,0
L000142,INV00037,P0216,17,3943.19,67034.23,0
L000143,INV00037,P0452,45,3427.05,154217.25,0
L000144,INV00037,P0021,19,603.68,11469.92,0
L000145,INV00037,P0338,43,10874.49,467603.07,0
L000146,INV00038,P0116,4,2169.42,8677.68,5
L000147,INV00038,P0108,3,5814.68,17444.04,0
L000148,INV00038,P0490,23,1237.47,28461.81,0
L000149,INV00038,P0291,31,5828.85,180694.35,10
L000150,INV00038,P0001,3,1401.7,4205.1,5
L000151,INV00039,P0388,49,10069.26,493393.74,0
L000152,INV00039,P0219,33,11436.32,377398.56,0
L000153,INV00040,P0041,35,221.71,7759.85,5
L000154,INV00040,P0267,41,6647.69,272555.29,0
L000155,INV00041,P0369,14,7660.13,107241.82,15
L000156,INV00041,P0353,13,12249.27,159240.51,15
L000157,INV00041,P0396,38,5947.19,225993.22,5
L000158,INV00041,P0161,29,4048.14,117396.06,0
L000159,INV00041,P0159,16,4567.36,73077.76,0
L000160,INV00041,P0112,46,3803.85,174977.1,5
L000161,INV00042,P0433,28,4282.37,119906.36,0
L000162,INV00042,P0109,32,3625.98,116031.36,0
L000163,INV00043,P0493,23,10987.62,252715.26,5
L000164,INV00043,P0402,32,5825.66,186421.12,0
L000165,INV00043,P0263,33,3520.33,116170.89,15
L000166,INV00043,P0476,8,5218.02,41744.16,0
L000167,INV00043,P0132,34,412.56,14027.04,20
L000168,INV00043,P0121,5,7086.34,35431.7,10
L000169,INV00044,P0016,21,8137.91,170896.11,0
L000170,INV00044,P0248,26,9050.62,235316.12,5
L000171,INV00044,P0062,31,396.95,12305.45,0
L000172,INV00044,P0012,1,4865.89,4865.89,10
L000173,INV00045,P0334,3,4649.17,13947.51,10
L000174,INV00045,P0242,24,6382.64,153183.36,10
L000175,INV00046,P0203,33,8557.49,282397.17,10
L000176,INV00046,P0085,39,377.56,14724.84,0
L000177,INV00046,P0072,42,7153.07,300428.94,10
L000178,INV00046,P0281,25,10996.15,274903.75,15
L000179,INV00046,P0275,46,4049.88,186294.48,0
L000180,INV00046,P0233,42,5999.75,251989.5,20
L000181,INV00047,P0338,26,10874.49,282736.74,5
L000182,INV00047,P0448,8,4603.61,36828.88,5
L000183,INV00047,P0421,45,7796.26,350831.7,5
L000184,INV00048,P0031,12,4819.9,57838.8,0
L000185,INV00049,P0033,10,10925.25,109252.5,0
L000186,INV00049,P0320,4,7297.45,29189.8,5
L000187,INV00049,P0125,43,6735.45,289624.35,15
L000188,INV00049,P0436,33,4224.56,139410.48,5
L000189,INV00049,P0149,22,7589.05,166959.1,0
L000190,INV00049,P0457,27,6526.37,176211.99,5
L000191,INV00050,P0204,6,5307.64,31845.84,15
L000192,INV00051,P0445,8,1184.66,9477.28,0
L000193,INV00051,P0025,5,4154.93,20774.65,0
L000194,INV00051,P0467,18,11219.86,201957.48,10
L000195,INV00051,P0095,33,442.49,14602.17,15
L000196,INV00051,P0381,39,8147.47,317751.33,0
L000197,INV00051,P0336,47,4371.61,205465.67,0
L000198,INV00052,P0400,29,9542.18,276723.22,0
L000199,INV00052,P0145,37,1897.99,70225.63,20
L000200,INV00052,P0345,13,1734.41,22547.33,15
L000201,INV00052,P0261,12,12110.12,145321.44,0
L000202,INV00052,P0227,33,5696.99,188000.67,5
L000203,INV00052,P0050,44,386.32,16998.08,0
L000204,INV00053,P0046,3,4051.5,12154.5,10
L000205,INV00053,P0323,23,9084.52,208943.96,15
L000206,INV00054,P0183,37,8735.68,323220.16,0
L000207,INV00054,P0256,17,5933.23,100864.91,5
L000208,INV00055,P0171,13,10435.6,135662.8,10
L000209,INV00055,P0193,17,10569.17,179675.89,0
L000210,INV00055,P0373,13,6662.04,86606.52,10
L000211,INV00055,P0041,7,221.71,1551.97,10
L000212,INV00055,P0069,5,7863.96,39319.8,5
L000213,INV00055,P0073,6,9628.05,57768.3,0
L000214,INV00056,P0288,45,10051.22,452304.9,0
L000215,INV00056,P0200,43,664.86,28588.98,20
L000216,INV00056,P0420,26,6633.93,172482.18,15
L000217,INV00056,P0353,29,12249.27,355228.83,0
L000218,INV00056,P0257,23,3516.61,80882.03,15
L000219,INV00057,P0338,11,10874.49,119619.39,0
L000220,INV00057,P0316,38,7840.59,297942.42,10
L000221,INV00057,P0413,10,7761.06,77610.6,10
L000222,INV00057,P0479,19,1072.5,20377.5,15
L000223,INV00057,P0299,15,623.97,9359.55,0
L000224,INV00057,P0235,45,6299.11,283459.95,5
L000225,INV00057,P0164,33,8690.47,286785.51,0
L000226,INV00058,P0054,4,6447.25,25789.0,0
L000227,INV00058,P0095,31,442.49,13717.19,0
L000228,INV00058,P0077,14,4514.08,63197.12,0
L000229,INV00058,P0302,10,8484.05,84840.5,0
L000230,INV00058,P0165,23,4821.68,110898.64,0
L000231,INV00058,P0218,2,6820.79,13641.58,0
L000232,INV00058,P0333,19,1808.85,34368.15,0
L000233,INV00059,P0264,22,6239.09,137259.98,0
L000234,INV00059,P0456,9,3082.41,27741.69,10
L000235,INV00059,P0336,31,4371.61,135519.91,5
L000236,INV00059,P0469,26,1346.58,35011.08,0
L000237,INV00060,P0223,32,1784.1,57091.2,0
L000238,INV00060,P0450,25,5978.01,149450.25,0
L000239,INV00061,P0233,28,5999.75,167993.0,5
L000240,INV00061,P0170,46,10735.51,493833.46,0
L000241,INV00061,P0445,18,1184.66,21323.88,15
L000242,INV00061,P0116,16,2169.42,34710.72,5
L000243,INV00062,P0055,13,9101.54,118320.02,10
L000244,INV00062,P0318,29,5123.08,148569.32,15
L000245,INV00062,P0285,48,5036.45,241749.6,15
L000246,INV00062,P0163,10,10324.17,103241.7,0
L000247,INV00062,P0071,46,4129.77,189969.42,15
L000248,INV00062,P0141,10,11056.1,110561.0,0
L000249,INV00063,P0379,19,244.84,4651.96,0
L000250,INV00064,P0454,44,8864.75,390049.0,0
L000251,INV00064,P0481,16,7279.24,116467.84,10
L000252,INV00064,P0453,41,6292.82,258005.62,5
L000253,INV00064,P0175,12,9106.75,109281.0,0
L000254,INV00064,P0159,28,4567.36,127886.08,0
L000255,INV00064,P0018,44,1270.54,55903.76,10
L000256,INV00065,P0056,31,8637.79,267771.49,5
L000257,INV00066,P0226,39,12428.12,484696.68,10
L000258,INV00067,P0121,4,7086.34,28345.36,0
L000259,INV00067,P0160,20,773.13,15462.6,0
L000260,INV00067,P0388,38,10069.26,382631.88,5
L000261,INV00067,P0175,1,9106.75,9106.75,0
L000262,INV00068,P0205,16,1590.46,25447.36,0
L000263,INV00068,P0301,36,7290.98,262475.28,0
L000264,INV00068,P0298,41,1999.73,81988.93,0
L000265,INV00068,P0060,40,3066.75,122670.0,5
L000266,INV00068,P0165,2,4821.68,9643.36,5
L000267,INV00068,P0183,13,8735.68,113563.84,5
L000268,INV00068,P0491,43,4887.27,210152.61,0
L000269,INV00069,P0288,44,10051.22,442253.68,0
L000270,INV00069,P0146,4,5960.88,23843.52,0
L000271,INV00069,P0135,8,1628.38,13027.04,10
L000272,INV00069,P0135,41,1628.38,66763.58,0
L000273,INV00070,P0244,6,6447.63,38685.78,0
L000274,INV00071,P0107,18,8912.93,160432.74,0
L000275,INV00071,P0368,48,1943.59,93292.32,10
L000276,INV00071,P0411,35,1263.93,44237.55,0
L000277,INV00071,P0035,28,5946.44,166500.32,15
L000278,INV00071,P0358,9,3556.78,32011.02,0
L000279,INV00071,P0021,35,603.68,21128.8,5
L000280,INV00071,P0307,19,9072.78,172382.82,0
L000281,INV00072,P0092,47,4993.95,234715.65,10
L000282,INV00072,P0184,38,6427.09,244229.42,10
L000283,INV00072,P0015,1,2756.52,2756.52,5
L000284,INV00072,P0049,32,6284.06,201089.92,10
L000285,INV00072,P0026,23,3077.44,70781.12,0
L000286,INV00072,P0349,38,10050.39,381914.82,5
L000287,INV00072,P0396,31,5947.19,184362.89,0
L000288,INV00073,P0245,47,748.16,35163.52,0
L000289,INV00073,P0468,14,5860.68,82049.52,10
L000290,INV00073,P0471,45,11225.98,505169.1,20
L000291,INV00074,P0207,16,4205.26,67284.16,0
L000292,INV00074,P0240,10,4139.1,41391.0,5
L000293,INV00074,P0425,49,7762.93,380383.57,0
L000294,INV00074,P0440,44,876.53,38567.32,20
L000295,INV00074,P0172,46,9344.96,429868.16,10
L000296,INV00074,P0403,29,960.85,27864.65,0
L000297,INV00075,P0095,28,442.49,12389.72,20
L000298,INV00075,P0171,7,10435.6,73049.2,5
L000299,INV00076,P0029,26,923.73,24016.98,15
L000300,INV00076,P0293,27,5903.57,159396.39,0
L000301,INV00076,P0437,30,2300.23,69006.9,0
L000302,INV00076,P0122,43,3862.06,166068.58,15
L000303,INV00076,P0049,9,6284.06,56556.54,10
L000304,INV00076,P0362,13,5656.4,73533.2,10
L000305,INV00077,P0349,35,10050.39,351763.65,0
L000306,INV00077,P0264,29,6239.09,180933.61,0
L000307,INV00077,P0414,22,12928.37,284424.14,15
L000308,INV00077,P0267,2,6647.69,13295.38,5
L000309,INV00077,P0194,34,10984.48,373472.32,5
L000310,INV00077,P0435,4,3917.24,15668.96,0
L000311,INV00077,P0498,20,6454.03,129080.6,10
L000312,INV00078,P0304,20,12678.27,253565.4,0
L000313,INV00078,P0088,31,364.07,11286.17,0
L000314,INV00078,P0078,4,1329.73,5318.92,10
L000315,INV00078,P0228,35,5563.35,194717.25,5
L000316,INV00079,P0202,23,3988.9,91744.7,10
L000317,INV00079,P0148,10,6703.06,67030.6,0
L000318,INV00080,P0326,11,1363.0,14993.0,0
L000319,INV00080,P0466,42,10788.39,453112.38,10
L000320,INV00080,P0473,21,4765.16,100068.36,0
L000321,INV00080,P0082,24,10444.01,250656.24,15
L000322,INV00080,P0010,27,5331.22,143942.94,20
L000323,INV00080,P0145,1,1897.99,1897.99,0
L000324,INV00080,P0114,26,2534.95,65908.7,10
L000325,INV00081,P0249,19,7061.57,134169.83,0
L000326,INV00081,P0032,12,5929.39,71152.68,5
L000327,INV00081,P0092,1,4993.95,4993.95,0
L000328,INV00081,P0136,4,8101.85,32407.4,5
L000329,INV00081,P0086,28,7761.17,217312.76,15
L000330,INV00081,P0324,4,342.9,1371.6,15
L000331,INV00082,P0340,23,2018.89,46434.47,0
L000332,INV00083,P0380,15,8326.54,124898.1,5
L000333,INV00083,P0042,29,1771.26,51366.54,20
L000334,INV00084,P0095,6,442.49,2654.94,0
L000335,INV00084,P0068,22,765.53,16841.66,0
L000336,INV00084,P0372,29,8144.87,236201.23,20
L000337,INV00084,P0331,24,1491.83,35803.92,15
L000338,INV00084,P0308,10,5889.65,58896.5,0
L000339,INV00084,P0254,1,247.38,247.38,0
L000340,INV00084,P0474,12,7432.74,89192.88,0
L000341,INV00085,P0228,2,5563.35,11126.7,5
L000342,INV00085,P0306,14,5976.37,83669.18,0
L000343,INV00086,P0073,19,9628.05,182932.95,0
L000344,INV00086,P0409,48,707.44,33957.12,0
L000345,INV00086,P0373,21,6662.04,139902.84,0
L000346,INV00086,P0105,4,10998.77,43995.08,0
L000347,INV00086,P0480,30,2249.08,67472.4,0
L000348,INV00086,P0218,36,6820.79,245548.44,0
L000349,INV00086,P0393,12,5117.9,61414.8,5
L000350,INV00087,P0093,22,2720.66,59854.52,0
L000351,INV00088,P0389,6,1316.2,7897.2,0
L000352,INV00089,P0360,48,1833.14,87990.72,0
L000353,INV00089,P0179,35,6478.85,226759.75,10
L000354,INV00089,P0420,6,6633.93,39803.58,0
L000355,INV00089,P0272,19,7994.37,151893.03,0
L000356,INV00090,P0321,4,8180.56,32722.24,5
L000357,INV00090,P0282,40,380.39,15215.6,0
L000358,INV00090,P0119,6,6783.87,40703.22,20
L000359,INV00091,P0083,29,5741.71,166509.59,20
L000360,INV00091,P0312,12,3311.57,39738.84,0
L000361,INV00091,P0071,17,4129.77,70206.09,15
L000362,INV00092,P0464,8,5391.95,43135.6,5
L000363,INV00092,P0413,32,7761.06,248353.92,5
L000364,INV00092,P0267,32,6647.69,212726.08,0
L000365,INV00092,P0035,33,5946.44,196232.52,15
L000366,INV00092,P0013,10,12368.81,123688.1,5
L000367,INV00092,P0366,17,7093.72,120593.24,0
L000368,INV00093,P0012,17,4865.89,82720.13,0
L000369,INV00093,P0282,48,380.39,18258.72,5
L000370,INV00093,P0239,12,8994.26,107931.12,10
L000371,INV00093,P0317,34,5205.65,176992.1,0
L000372,INV00094,P0335,22,10982.68,241618.96,0
L000373,INV00094,P0180,15,9778.26,146673.9,0
L000374,INV00094,P0071,29,4129.77,119763.33,0
L000375,INV00095,P0081,24,7405.7,177736.8,10
L000376,INV00095,P0318,15,5123.08,76846.2,5
L000377,INV00095,P0293,37,5903.57,218432.09,5
L000378,INV00096,P0304,40,12678.27,507130.8,0
L000379,INV00096,P0135,8,1628.38,13027.04,10
L000380,INV00097,P0167,12,3357.58,40290.96,0
L000381,INV00097,P0304,41,12678.27,519809.07,5
L000382,INV00098,P0176,10,2045.55,20455.5,5
L000383,INV00098,P0095,17,442.49,7522.33,0
L000384,INV00098,P0353,34,12249.27,416475.18,0
L000385,INV00098,P0265,7,9420.13,65940.91,15
L000386,INV00099,P0013,12,12368.81,148425.72,5
L000387,INV00099,P0458,20,2892.16,57843.2,5
L000388,INV00100,P0386,41,1593.61,65338.01,0
L000389,INV00100,P0106,9,5693.12,51238.08,5
L000390,INV00100,P0342,47,664.42,31227.74,0
L000391,INV00100,P0257,44,3516.61,154730.84,10
L000392,INV00100,P0243,19,149.45,2839.55,10
L000393,INV00100,P0115,3,6346.7,19040.1,5
L000394,INV00101,P0475,44,4687.53,206251.32,0
L000395,INV00102,P0373,19,6662.04,126578.76,5
L000396,INV00102,P0152,44,7953.17,349939.48,5
L000397,INV00102,P0040,39,7073.58,275869.62,0
L000398,INV00102,P0254,6,247.38,1484.28,0
L000399,INV00102,P0245,45,748.16,33667.2,5
L000400,INV00102,P0189,4,3358.14,13432.56,15
L000401,INV00103,P0173,27,3341.77,90227.79,0
L000402,INV00103,P0218,33,6820.79,225086.07,10
L000403,INV00103,P0047,6,5909.48,35456.88,0
L000404,INV00103,P0327,34,2664.14,90580.76,5
L000405,INV00104,P0403,43,960.85,41316.55,15
L000406,INV00104,P0157,6,4194.92,25169.52,5
L000407,INV00104,P0249,24,7061.57,169477.68,0
L000408,INV00104,P0436,16,4224.56,67592.96,0
L000409,INV00104,P0213,4,5235.11,20940.44,10
L000410,INV00104,P0166,41,8122.74,333032.34,10
L000411,INV00105,P0185,15,4636.88,69553.2,5
L000412,INV00105,P0242,30,6382.64,191479.2,0
L000413,INV00105,P0139,27,6989.83,188725.41,5
L000414,INV00105,P0423,8,5317.21,42537.68,0
L000415,INV00105,P0077,45,4514.08,203133.6,5
L000416,INV00105,P0343,12,62.56,750.72,10
L000417,INV00106,P0135,45,1628.38,73277.1,0
L000418,INV00106,P0019,19,4263.17,81000.23,10
L000419,INV00106,P0265,48,9420.13,452166.24,10
L000420,INV00106,P0358,40,3556.78,142271.2,0
L000421,INV00106,P0408,48,10989.39,527490.72,20
L000422,INV00106,P0437,42,2300.23,96609.66,10
L000423,INV00107,P0492,38,7886.23,299676.74,5
L000424,INV00107,P0196,44,6054.29,266388.76,0
L000425,INV00107,P0215,27,6041.67,163125.09,0
L000426,INV00107,P0308,8,5889.65,47117.2,5
L000427,INV00107,P0208,41,739.5,30319.5,0
L000428,INV00107,P0197,20,4896.87,97937.4,0
L000429,INV00107,P0096,26,7406.44,192567.44,0
L000430,INV00108,P0205,11,1590.46,17495.06,0
L000431,INV00109,P0475,20,4687.53,93750.6,0
L000432,INV00109,P0318,27,5123.08,138323.16,0
L000433,INV00109,P0105,28,10998.77,307965.56,0
L000434,INV00109,P0189,44,3358.14,147758.16,5
L000435,INV00109,P0430,14,401.43,5620.02,15
L000436,INV00109,P0142,1,2964.52,2964.52,10
L000437,INV00109,P0135,15,1628.38,24425.7,0
L000438,INV00110,P0144,8,4541.18,36329.44,10
L000439,INV00111,P0383,27,10422.17,281398.59,5
L000440,INV00111,P0115,6,6346.7,38080.2,0
L000441,INV00111,P0300,18,3874.93,69748.74,0
L000442,INV00111,P0404,45,1835.26,82586.7,15
L000443,INV00111,P0443,29,1248.86,36216.94,5
L000444,INV00111,P0278,33,7791.22,257110.26,10
L000445,INV00111,P0487,47,963.16,45268.52,0
L000446,INV00112,P0357,7,12018.53,84129.71,10
L000447,INV00112,P0489,14,13778.52,192899.28,15
L000448,INV00112,P0164,40,8690.47,347618.8,15
L000449,INV00112,P0245,29,748.16,21696.64,15
L000450,INV00113,P0489,3,13778.52,41335.56,0
L000451,INV00114,P0413,17,7761.06,131938.02,5
L000452,INV00114,P0406,24,1574.96,37799.04,0
L000453,INV00114,P0341,11,2444.88,26893.68,10
L000454,INV00114,P0170,39,10735.51,418684.89,0
L000455,INV00114,P0048,21,1811.26,38036.46,15
L000456,INV00114,P0404,15,1835.26,27528.9,10
L000457,INV00115,P0496,8,10086.17,80689.36,0
L000458,INV00115,P0004,21,3608.94,75787.74,5
L000459,INV00116,P0293,42,5903.57,247949.94,0
L000460,INV00117,P0197,38,4896.87,186081.06,10
L000461,INV00117,P0235,40,6299.11,251964.4,0
L000462,INV00117,P0038,16,4572.63,73162.08,10
L000463,INV00117,P0430,23,401.43,9232.89,0
L000464,INV00118,P0298,44,1999.73,87988.12,5
L000465,INV00118,P0234,4,3045.6,12182.4,10
L000466,INV00118,P0093,41,2720.66,111547.06,0
L000467,INV00118,P0319,9,2816.46,25348.14,5
L000468,INV00118,P0120,43,2671.84,114889.12,0
L000469,INV00118,P0373,42,6662.04,279805.68,0
L000470,INV00119,P0255,2,92.63,185.26,0
L000471,INV00119,P0242,21,6382.64,134035.44,0
L000472,INV00119,P0245,18,748.16,13466.88,5
L000473,INV00119,P0393,20,5117.9,102358.0,0
L000474,INV00120,P0407,34,13344.98,453729.32,10
L000475,INV00120,P0325,15,9305.74,139586.1,5
L000476,INV00120,P0211,28,4001.04,112029.12,0
L000477,INV00120,P0260,24,10276.79,246642.96,15
L000478,INV00120,P0443,45,1248.86,56198.7,5
L000479,INV00120,P0165,1,4821.68,4821.68,0
L000480,INV00120,P0374,1,3810.07,3810.07,5
L000481,INV00121,P0399,41,12048.06,493970.46,0
L000482,INV00121,P0330,20,4239.53,84790.6,0
L000483,INV00121,P0087,1,7564.08,7564.08,5
L000484,INV00121,P0147,14,11763.36,164687.04,20
L000485,INV00121,P0140,26,9074.03,235924.78,0
L000486,INV00121,P0271,46,5987.8,275438.8,0
L000487,INV00122,P0034,32,7463.5,238832.0,0
L000488,INV00122,P0316,26,7840.59,203855.34,0
L000489,INV00122,P0275,47,4049.88,190344.36,0
L000490,INV00122,P0477,33,7407.54,244448.82,5
L000491,INV00123,P0395,47,352.84,16583.48,0
L000492,INV00123,P0280,13,12578.63,163522.19,0
L000493,INV00123,P0132,13,412.56,5363.28,5
L000494,INV00123,P0497,34,2825.75,96075.5,0
L000495,INV00123,P0304,7,12678.27,88747.89,5
L000496,INV00123,P0250,12,586.54,7038.48,5
L000497,INV00123,P0044,44,4059.31,178609.64,0
L000498,INV00124,P0109,2,3625.98,7251.96,0
L000499,INV00124,P0390,19,7391.16,140432.04,0
L000500,INV00125,P0023,18,6905.11,124291.98,10
L000501,INV00125,P0028,26,428.2,11133.2,0
L000502,INV00125,P0004,2,3608.94,7217.88,0
L000503,INV00125,P0055,16,9101.54,145624.64,0
L000504,INV00125,P0019,28,4263.17,119368.76,0
L000505,INV00125,P0147,37,11763.36,435244.32,15
L000506,INV00125,P0269,13,7314.85,95093.05,20
L000507,INV00126,P0101,39,4149.31,161823.09,0
L000508,INV00126,P0300,42,3874.93,162747.06,5
L000509,INV00126,P0396,2,5947.19,11894.38,0
L000510,INV00126,P0074,22,3347.03,73634.66,5
L000511,INV00126,P0067,7,6535.61,45749.27,5
L000512,INV00126,P0468,12,5860.68,70328.16,5
L000513,INV00126,P0348,41,192.48,7891.68,10
L000514,INV00127,P0192,15,4621.65,69324.75,5
L000515,INV00127,P0363,40,8105.93,324237.2,5
L000516,INV00127,P0364,34,6551.06,222736.04,5
L000517,INV00128,P0165,48,4821.68,231440.64,0
L000518,INV00128,P0337,24,4284.95,102838.8,10
