invoice_id,customer_id,invoice_date,due_date,subtotal,tax_amount,discount,total_amount,status,sales_rep,region,year,month,quarter,is_overdue,company_name,segment,country,city
INV00019,C0122,2023-06-22,2023-07-22,773829.4,61906.35,20404.0,815331.75,Paid,REP06,South,2023,6,2,0,Company_122,Government,USA,Chicago
INV00020,C0712,2023-06-23,2023-07-23,5960.88,476.87,726.69,5711.06,Paid,REP09,International,2023,6,2,0,Company_712,Non-profit,USA,Los Angeles
INV00021,C0819,2022-09-28,2022-10-28,690452.19,55236.18,17686.1,728002.27,Paid,REP08,North,2022,9,3,0,Company_819,Non-profit,France,Dallas
INV00022,C0868,2024-03-05,2024-04-04,417363.68,33389.09,18923.9,431828.87,Overdue,REP24,International,2024,3,1,1,Company_868,Non-profit,Canada,New York
INV00023,C0073,2024-12-05,2025-01-04,164222.94,13137.84,8339.75,169021.03,Paid,REP03,South,2024,12,4,0,Company_73,Non-profit,France,Philadelphia
INV00024,C0217,2024-06-29,2024-07-29,274698.5,21975.88,11723.25,284951.13,Paid,REP07,South,2024,6,2,0,Company_217,Government,Canada,Phoenix
INV00025,C0065,2023-05-31,2023-06-30,471866.52,37749.32,13477.46,496138.38,Paid,REP13,International,2023,5,2,0,Company_65,SMB,USA,New York
INV00026,C0687,2024-05-08,2024-06-07,94715.59,7577.25,1751.54,100541.3,Paid,REP10,South,2024,5,2,0,Company_687,Non-profit,USA,Houston
INV00027,C0498,2024-04-28,2024-05-28,855141.14,68411.29,43743.06,879809.37,Cancelled,REP06,North,2024,4,2,0,Company_498,Enterprise,Germany,Phoenix
INV00028,C0449,2024-03-03,2024-04-02,32471.46,2597.72,772.11,34297.07,Paid,REP18,South,2024,3,1,0,Company_449,Enterprise,USA,Los Angeles
INV00029,C0841,2023-02-24,2023-03-26,522423.21,41793.86,423.05,563794.02,Paid,REP22,South,2023,2,1,0,Company_841,Non-profit,USA,Los Angeles
INV00030,C0065,2022-03-29,2022-04-28,91268.16,7301.45,6603.56,91966.05,Pending,REP19,East,2022,3,1,1,Company_65,SMB,USA,New York
INV00031,C0214,2022-03-15,2022-04-14,1441659.59,115332.77,42180.38,1514811.98,Cancelled,REP11,West,2022,3,1,0,Company_214,SMB,USA,Paris
INV00032,C0292,2023-01-18,2023-02-17,120863.82,9669.11,8248.06,122284.87,Paid,REP11,East,2023,1,1,0,Company_292,Enterprise,USA,Berlin
INV00033,C0795,2024-03-24,2024-04-23,23785.76,1902.86,3514.04,22174.58,Paid,REP19,South,2024,3,1,0,Company_795,Government,Germany,Los Angeles
INV00034,C0081,2023-11-16,2023-12-16,160483.49,12838.68,11558.06,161764.11,Paid,REP09,International,2023,11,4,0,Company_81,Non-profit,UK,Chicago
INV00035,C0459,2023-04-09,2023-05-09,905855.25,72468.42,49292.18,929031.49,Paid,REP07,North,2023,4,2,0,Company_459,SMB,Germany,Philadelphia
INV00036,C0979,2023-07-20,2023-08-19,761387.65,60911.01,14684.84,807613.82,Paid,REP11,North,2023,7,3,0,Company_979,Startup,France,Chicago
INV00037,C0841,2024-04-28,2024-05-28,864043.46,69123.48,23563.56,909603.38,Paid,REP10,International,2024,4,2,0,Company_841,Non-profit,USA,Los Angeles
INV00038,C0068,2022-01-28,2022-02-27,239482.98,19158.64,30922.43,227719.19,Paid,REP04,International,2022,1,1,0,Company_68,SMB,USA,Houston
INV00039,C0989,2024-06-08,2024-07-08,870792.3,69663.38,92471.33,847984.35,Paid,REP23,West,2024,6,2,0,Company_989,Startup,USA,Paris
INV00040,C0277,2022-08-01,2022-08-31,280315.14,22425.21,12224.08,290516.27,Cancelled,REP20,International,2022,8,3,0,Company_277,Non-profit,USA,Berlin
INV00041,C0502,2024-02-29,2024-03-30,857926.47,68634.12,109883.14,816677.45,Paid,REP09,International,2024,2,1,0,Company_502,Enterprise,USA,Houston
INV00042,C0387,2023-07-18,2023-08-17,235937.72,18875.02,31062.84,223749.9,Pending,REP24,East,2023,7,3,1,Company_387,SMB,Germany,Houston
INV00043,C0573,2023-12-04,2024-01-03,646510.17,51720.81,21842.98,676388.0,Paid,REP07,South,2023,12,4,0,Company_573,Startup,USA,Dallas
INV00044,C0161,2022-10-16,2022-11-15,423383.57,33870.69,3580.67,453673.59,Paid,REP09,South,2022,10,4,0,Company_161,Startup,UK,Phoenix
INV00045,C0691,2023-06-12,2023-07-12,167130.87,13370.47,10717.41,169783.93,Paid,REP21,East,2023,6,2,0,Company_691,Non-profit,USA,London
INV00046,C0601,2024-03-25,2024-04-24,1310738.68,104859.09,90238.4,1325359.37,Paid,REP04,West,2024,3,1,0,Company_601,Startup,USA,Berlin
INV00047,C0387,2022-03-28,2022-04-27,670397.32,53631.79,54561.17,669467.94,Paid,REP24,East,2022,3,1,0,Company_387,SMB,Germany,Houston
INV00048,C0037,2023-08-06,2023-09-05,57838.8,4627.1,7220.36,55245.54,Paid,REP22,South,2023,8,3,0,Company_37,Startup,UK,Phoenix
INV00049,C0019,2024-09-06,2024-10-06,910648.22,72851.86,92220.87,891279.21,Paid,REP18,International,2024,9,3,0,Company_19,Enterprise,UK,Phoenix
INV00050,C0123,2024-11-22,2024-12-22,31845.84,2547.67,228.52,34164.99,Overdue,REP17,South,2024,11,4,1,Company_123,Non-profit,USA,New York
INV00051,C0833,2022-12-05,2023-01-04,770028.58,61602.29,24395.46,807235.41,Paid,REP16,North,2022,12,4,0,Company_833,SMB,USA,New York
INV00052,C0160,2023-07-04,2023-08-03,719816.37,57585.31,43848.69,733552.99,Paid,REP04,International,2023,7,3,0,Company_160,Startup,UK,Los Angeles
INV00053,C0017,2024-12-15,2025-01-14,221098.46,17687.88,3466.64,235319.7,Paid,REP22,South,2024,12,4,0,Company_17,Government,USA,New York
INV00054,C0473,2023-07-07,2023-08-06,424085.07,33926.81,12732.36,445279.52,Paid,REP02,South,2023,7,3,0,Company_473,SMB,Germany,Berlin
INV00055,C0757,2022-05-03,2022-06-02,500585.28,40046.82,48266.59,492365.51,Paid,REP16,International,2022,5,2,0,Company_757,Non-profit,USA,London
INV00056,C0207,2022-11-29,2022-12-29,1089486.92,87158.95,28181.71,1148464.16,Paid,REP15,East,2022,11,4,0,Company_207,Non-profit,USA,Berlin
INV00057,C0861,2023-06-26,2023-07-26,1095154.92,87612.39,163728.39,1019038.92,Pending,REP23,West,2023,6,2,1,Company_861,Enterprise,UK,Chicago
INV00058,C0487,2022-12-05,2023-01-04,346452.18,27716.17,5697.56,368470.79,Paid,REP02,East,2022,12,4,0,Company_487,Enterprise,USA,New York
INV00059,C0721,2022-04-17,2022-05-17,335532.66,26842.61,33483.11,328892.16,Paid,REP16,West,2022,4,2,0,Company_721,Startup,UK,Paris
INV00060,C0485,2024-12-15,2025-01-14,206541.45,16523.32,425.47,222639.3,Overdue,REP04,North,2024,12,4,1,Company_485,Enterprise,USA,New York
INV00061,C0588,2023-10-11,2023-11-10,717861.06,57428.88,9445.36,765844.58,Paid,REP25,North,2023,10,4,0,Company_588,Enterprise,USA,London
INV00062,C0434,2022-10-15,2022-11-14,912411.06,72992.88,4218.71,981185.23,Overdue,REP15,East,2022,10,4,1,Company_434,Startup,France,Berlin
INV00063,C0302,2023-06-17,2023-07-17,4651.96,372.16,666.14,4357.98,Paid,REP20,North,2023,6,2,0,Company_302,Non-profit,USA,Philadelphia
INV00064,C0739,2024-03-06,2024-04-05,1057593.3,84607.46,37950.13,1104250.63,Paid,REP19,West,2024,3,1,0,Company_739,Government,Germany,Los Angeles
INV00065,C0402,2022-08-13,2022-09-12,267771.49,21421.72,10181.76,279011.45,Overdue,REP11,East,2022,8,3,1,Company_402,Non-profit,USA,Phoenix
INV00066,C0191,2023-06-14,2023-07-14,484696.68,38775.73,40476.95,482995.46,Overdue,REP12,East,2023,6,2,1,Company_191,SMB,USA,Phoenix
INV00067,C0267,2022-11-13,2022-12-13,435546.59,34843.73,59180.99,411209.33,Pending,REP14,North,2022,11,4,1,Company_267,Government,UK,Los Angeles
INV00068,C0318,2024-06-16,2024-07-16,825941.38,66075.31,35913.67,856103.02,Paid,REP24,West,2024,6,2,0,Company_318,SMB,Germany,Dallas
INV00069,C0697,2023-10-08,2023-11-07,545887.82,43671.03,50019.16,539539.69,Overdue,REP18,West,2023,10,4,1,Company_697,Government,USA,Paris
INV00070,C0918,2024-10-24,2024-11-23,38685.78,3094.86,2653.25,39127.39,Paid,REP03,International,2024,10,4,0,Company_918,Enterprise,USA,Paris
INV00071,C0502,2024-07-19,2024-08-18,689985.57,55198.85,83122.54,662061.88,Paid,REP19,International,2024,7,3,0,Company_502,Enterprise,USA,Houston
INV00072,C0600,2023-05-18,2023-06-17,1319850.34,105588.03,15756.67,1409681.7,Overdue,REP04,East,2023,5,2,1,Company_600,Non-profit,France,London
INV00073,C0641,2024-05-31,2024-06-30,622382.14,49790.57,3487.17,668685.54,Paid,REP19,International,2024,5,2,0,Company_641,Government,USA,London
INV00074,C0029,2023-03-21,2023-04-20,985358.86,78828.71,25333.33,1038854.24,Paid,REP15,East,2023,3,1,0,Company_29,Government,USA,London
INV00075,C0870,2022-09-12,2022-10-12,85438.92,6835.11,3348.08,88925.95,Cancelled,REP12,International,2022,9,3,0,Company_870,Government,France,Dallas
INV00076,C0055,2023-05-25,2023-06-24,548578.59,43886.29,16485.32,575979.56,Paid,REP08,West,2023,5,2,0,Company_55,Startup,USA,Houston
INV00077,C0320,2022-09-26,2022-10-26,1348638.66,107891.09,61396.01,1395133.74,Paid,REP17,South,2022,9,3,0,Company_320,Startup,UK,London
INV00078,C0249,2022-10-06,2022-11-05,464887.74,37191.02,28000.77,474077.99,Paid,REP06,South,2022,10,4,0,Company_249,Government,USA,New York
INV00079,C0492,2024-11-10,2024-12-10,158775.3,12702.02,5479.76,165997.56,Paid,REP05,West,2024,11,4,0,Company_492,Non-profit,UK,Philadelphia
INV00080,C0061,2022-05-05,2022-06-04,1030579.61,82446.37,69716.62,1043309.36,Paid,REP15,East,2022,5,2,0,Company_61,SMB,USA,Philadelphia
INV00081,C0705,2024-06-09,2024-07-09,461408.22,36912.66,11749.19,486571.69,Cancelled,REP09,South,2024,6,2,0,Company_705,Enterprise,UK,Dallas
INV00082,C0443,2022-02-18,2022-03-20,46434.47,3714.76,2889.48,47259.75,Pending,REP23,North,2022,2,1,1,Company_443,Startup,USA,Paris
INV00083,C0982,2023-11-29,2023-12-29,176264.64,14101.17,9557.03,180808.78,Pending,REP18,West,2023,11,4,1,Company_982,Government,USA,Dallas
INV00084,C0969,2022-04-07,2022-05-07,439838.51,35187.08,3128.28,471897.31,Pending,REP07,South,2022,4,2,1,Company_969,Government,France,Berlin
INV00085,C0115,2022-11-09,2022-12-09,94795.88,7583.67,11183.3,91196.25,Paid,REP14,West,2022,11,4,0,Company_115,Enterprise,Canada,London
INV00086,C0019,2022-03-07,2022-04-06,775223.63,62017.89,112900.24,724341.28,Paid,REP22,International,2022,3,1,0,Company_19,Enterprise,UK,Phoenix
INV00087,C0443,2022-09-10,2022-10-10,59854.52,4788.36,7859.24,56783.64,Paid,REP19,South,2022,9,3,0,Company_443,Startup,USA,Paris
INV00088,C0646,2022-11-14,2022-12-14,7897.2,631.78,1091.08,7437.9,Paid,REP25,East,2022,11,4,0,Company_646,SMB,France,Houston
INV00089,C0819,2024-10-17,2024-11-16,506447.08,40515.77,31954.04,515008.81,Paid,REP15,East,2024,10,4,0,Company_819,Non-profit,France,Dallas
INV00090,C0318,2022-12-15,2023-01-14,88641.06,7091.28,2633.05,93099.29,Paid,REP24,North,2022,12,4,0,Company_318,SMB,Germany,Dallas
INV00091,C0687,2022-09-06,2022-10-06,276454.52,22116.36,21570.1,277000.78,Paid,REP06,North,2022,9,3,0,Company_687,Non-profit,USA,Houston
INV00092,C0306,2024-01-23,2024-02-22,944729.46,75578.36,8295.19,1012012.63,Paid,REP10,West,2024,1,1,0,Company_306,Government,USA,Dallas
INV00093,C0775,2023-02-17,2023-03-19,385902.07,30872.17,51969.19,364805.05,Paid,REP03,North,2023,2,1,0,Company_775,SMB,USA,Phoenix
INV00094,C0234,2022-02-28,2022-03-30,508056.19,40644.5,33742.42,514958.27,Paid,REP05,West,2022,2,1,0,Company_234,Government,USA,Philadelphia
INV00095,C0086,2024-02-25,2024-03-26,473015.09,37841.21,64794.03,446062.27,Pending,REP18,South,2024,2,1,1,Company_86,Enterprise,USA,New York
INV00096,C0244,2024-08-17,2024-09-16,520157.84,41612.63,6678.79,555091.68,Paid,REP12,West,2024,8,3,0,Company_244,Startup,USA,Houston
INV00097,C0211,2023-03-23,2023-04-22,560100.03,44808.0,28773.06,576134.97,Paid,REP07,International,2023,3,1,0,Company_211,Startup,USA,Berlin
INV00098,C0714,2024-04-20,2024-05-20,510393.92,40831.51,25216.88,526008.55,Paid,REP11,International,2024,4,2,0,Company_714,Startup,USA,Phoenix
INV00099,C0716,2024-02-01,2024-03-02,206268.92,16501.51,2194.17,220576.26,Paid,REP12,South,2024,2,1,0,Company_716,Government,USA,Chicago
INV00100,C0867,2023-11-11,2023-12-11,324414.32,25953.15,47977.11,302390.36,Paid,REP18,East,2023,11,4,0,Company_867,Government,UK,Phoenix
INV00101,C0122,2022-11-07,2022-12-07,206251.32,16500.11,3260.74,219490.69,Paid,REP24,North,2022,11,4,0,Company_122,Government,USA,Chicago
INV00102,C0366,2024-07-21,2024-08-20,800971.9,64077.75,58435.56,806614.09,Paid,REP25,South,2024,7,3,0,Company_366,Non-profit,Germany,Berlin
INV00103,C0619,2024-03-26,2024-04-25,441351.5,35308.12,54950.43,421709.19,Paid,REP09,South,2024,3,1,0,Company_619,Government,USA,Philadelphia
INV00104,C0256,2024-02-19,2024-03-20,657529.49,52602.36,60987.14,649144.71,Paid,REP01,International,2024,2,1,0,Company_256,Startup,USA,Berlin
INV00105,C0308,2024-09-17,2024-10-17,696179.81,55694.38,58727.47,693146.72,Paid,REP13,North,2024,9,3,0,Company_308,Government,France,Chicago
INV00106,C0364,2022-06-28,2022-07-28,1372815.15,109825.21,174269.41,1308370.95,Paid,REP20,International,2022,6,2,0,Company_364,Non-profit,USA,Los Angeles
INV00107,C0565,2023-06-14,2023-07-14,1097132.13,87770.57,21450.15,1163452.55,Paid,REP19,East,2023,6,2,0,Company_565,Government,USA,Dallas
INV00108,C0005,2023-08-12,2023-09-11,17495.06,1399.6,698.7,18195.96,Paid,REP14,International,2023,8,3,0,Company_5,Non-profit,France,Phoenix
INV00109,C0387,2023-10-02,2023-11-01,720807.72,57664.62,75124.82,703347.52,Paid,REP09,North,2023,10,4,0,Company_387,SMB,Germany,Houston
INV00110,C0826,2023-02-23,2023-03-25,36329.44,2906.36,3736.14,35499.66,Pending,REP22,East,2023,2,1,1,Company_826,Non-profit,Canada,Paris
INV00111,C0245,2022-11-05,2022-12-05,810409.95,64832.8,59565.65,815677.1,Paid,REP24,West,2022,11,4,0,Company_245,Startup,Canada,Houston
INV00112,C0525,2022-12-13,2023-01-12,646344.43,51707.55,27878.45,670173.53,Paid,REP24,International,2022,12,4,0,Company_525,Non-profit,USA,Paris
INV00113,C0673,2023-01-26,2023-02-25,41335.56,3306.84,1917.91,42724.49,Paid,REP10,International,2023,1,1,0,Company_673,Non-profit,USA,Phoenix
INV00114,C0635,2022-07-06,2022-08-05,680880.99,54470.48,46196.77,689154.7,Paid,REP21,International,2022,7,3,0,Company_635,Enterprise,USA,Philadelphia
INV00115,C0646,2022-01-26,2022-02-25,156477.1,12518.17,14908.13,154087.14,Overdue,REP21,East,2022,1,1,1,Company_646,SMB,France,Houston
INV00116,C0945,2023-07-09,2023-08-08,247949.94,19836.0,5067.5,262718.44,Overdue,REP20,South,2023,7,3,1,Company_945,Startup,USA,Philadelphia
INV00117,C0076,2024-05-14,2024-06-13,520440.43,41635.23,7470.15,554605.51,Overdue,REP13,East,2024,5,2,1,Company_76,SMB,UK,Dallas
INV00118,C0382,2022-09-28,2022-10-28,631760.52,50540.84,29811.03,652490.33,Paid,REP16,North,2022,9,3,0,Company_382,Non-profit,Germany,Berlin
INV00119,C0502,2024-09-16,2024-10-16,250045.58,20003.65,5949.98,264099.25,Paid,REP04,North,2024,9,3,0,Company_502,Enterprise,USA,Houston
INV00120,C0913,2022-03-04,2022-04-03,1016817.95,81345.44,63809.86,1034353.53,Pending,REP23,South,2022,3,1,1,Company_913,Startup,UK,Houston
INV00121,C0328,2022-11-16,2022-12-16,1262375.76,100990.06,188601.36,1174764.46,Paid,REP25,East,2022,11,4,0,Company_328,Non-profit,Germany,Dallas
INV00122,C0883,2023-07-18,2023-08-17,877480.52,70198.44,128784.88,818894.08,Pending,REP03,East,2023,7,3,1,Company_883,Startup,USA,Los Angeles
INV00123,C0394,2023-04-20,2023-05-20,555940.46,44475.24,9348.01,591067.69,Paid,REP04,West,2023,4,2,0,Company_394,Enterprise,USA,Paris
INV00124,C0887,2023-04-19,2023-05-19,147684.0,11814.72,11031.47,148467.25,Paid,REP10,East,2023,4,2,0,Company_887,SMB,USA,Paris
INV00125,C0678,2024-02-22,2024-03-23,937973.83,75037.91,124048.14,888963.6,Paid,REP18,West,2024,2,1,0,Company_678,Startup,USA,Chicago
INV00126,C0467,2024-09-08,2024-10-08,534068.3,42725.46,25873.91,550919.85,Paid,REP22,West,2024,9,3,0,Company_467,SMB,USA,Paris
INV00127,C0165,2024-08-30,2024-09-29,616297.99,49303.84,39436.16,626165.67,Overdue,REP08,North,2024,8,3,1,Company_165,Startup,France,Philadelphia
INV00128,C0044,2023-05-24,2023-06-23,724972.6,57997.81,43912.79,739057.62,Paid,REP24,South,2023,5,2,0,Company_44,SMB,USA,Philadelphia
INV00129,C0188,2024-06-25,2024-07-25,475266.22,38021.3,29853.3,483434.22,Paid,REP02,International,2024,6,2,0,Company_188,Enterprise,Canada,Phoenix
INV00130,C0115,2023-04-05,2023-05-05,212027.4,16962.19,3930.11,225059.48,Paid,REP02,West,2023,4,2,0,Company_115,Enterprise,Canada,London
INV00131,C0997,2024-08-17,2024-09-16,653910.8,52312.86,6877.64,699346.02,Paid,REP21,North,2024,8,3,0,Company_997,Enterprise,France,Los Angeles
INV00132,C0913,2024-12-06,2025-01-05,700551.18,56044.09,33576.17,723019.1,Paid,REP19,International,2024,12,4,0,Company_913,Startup,UK,Houston
INV00133,C0618,2023-02-23,2023-03-25,827725.06,66218.0,18240.03,875703.03,Paid,REP08,West,2023,2,1,0,Company_618,SMB,Canada,Paris
INV00134,C0014,2022-05-13,2022-06-12,100193.58,8015.49,3051.96,105157.11,Paid,REP14,West,2022,5,2,0,Company_14,SMB,USA,Berlin
INV00135,C0289,2024-10-09,2024-11-08,627904.3,50232.34,778.47,677358.17,Pending,REP13,International,2024,10,4,1,Company_289,Startup,Germany,London
INV00136,C0373,2022-09-02,2022-10-02,34340.41,2747.23,1246.18,35841.46,Overdue,REP04,South,2022,9,3,1,Company_373,SMB,UK,Houston
INV00137,C0517,2023-06-15,2023-07-15,94808.35,7584.67,412.37,101980.65,Paid,REP12,International,2023,6,2,0,Company_517,SMB,USA,Chicago
INV00138,C0531,2024-01-15,2024-02-14,589607.81,47168.62,49542.26,587234.17,Paid,REP15,South,2024,1,1,0,Company_531,SMB,France,Berlin
INV00139,C0303,2023-08-30,2023-09-29,1073870.48,85909.64,48033.4,1111746.72,Paid,REP09,North,2023,8,3,0,Company_303,Enterprise,USA,Paris
INV00140,C0599,2022-01-21,2022-02-20,1252481.78,100198.54,156063.54,1196616.78,Paid,REP12,North,2022,1,1,0,Company_599,Non-profit,USA,Chicago
INV00141,C0013,2023-08-24,2023-09-23,876358.9,70108.71,90254.43,856213.18,Paid,REP12,West,2023,8,3,0,Company_13,Non-profit,USA,London
INV00142,C0700,2023-04-28,2023-05-28,1087790.82,87023.27,4340.7,1170473.39,Paid,REP18,South,2023,4,2,0,Company_700,SMB,USA,Houston
INV00143,C0855,2023-05-17,2023-06-16,870940.44,69675.24,71785.9,868829.78,Paid,REP15,North,2023,5,2,0,Company_855,Government,USA,Chicago
INV00144,C0822,2023-06-16,2023-07-16,606254.88,48500.39,65514.97,589240.3,Paid,REP13,East,2023,6,2,0,Company_822,Government,USA,Paris
INV00145,C0201,2022-08-05,2022-09-04,449929.97,35994.4,63616.25,422308.12,Pending,REP17,East,2022,8,3,1,Company_201,SMB,USA,Paris
INV00146,C0897,2023-11-22,2023-12-22,505877.58,40470.21,33088.06,513259.73,Paid,REP17,North,2023,11,4,0,Company_897,Enterprise,UK,Houston
INV00147,C0505,2024-08-26,2024-09-25,509600.75,40768.06,6888.3,543480.51,Pending,REP06,North,2024,8,3,1,Company_505,Startup,USA,New York
INV00148,C0350,2022-04-20,2022-05-20,466518.24,37321.46,26728.56,477111.14,Paid,REP06,International,2022,4,2,0,Company_350,Non-profit,USA,Berlin
INV00149,C0711,2024-08-05,2024-09-04,106175.48,8494.04,1711.33,112958.19,Pending,REP13,West,2024,8,3,1,Company_711,Non-profit,USA,Chicago
INV00150,C0522,2024-07-14,2024-08-13,401445.94,32115.68,2455.95,431105.67,Paid,REP23,North,2024,7,3,0,Company_522,Enterprise,UK,Chicago
INV00151,C0757,2024-05-19,2024-06-18,1383292.0,110663.36,136970.58,1356984.78,Pending,REP02,West,2024,5,2,1,Company_757,Non-profit,USA,London
INV00152,C0151,2024-05-04,2024-06-03,1213297.49,97063.8,21807.46,1288553.83,Paid,REP25,East,2024,5,2,0,Company_151,Enterprise,UK,Los Angeles
INV00153,C0896,2024-07-07,2024-08-06,587352.88,46988.23,21048.2,613292.91,Paid,REP16,West,2024,7,3,0,Company_896,Non-profit,Canada,Phoenix
INV00154,C0403,2024-08-12,2024-09-11,879217.87,70337.43,33271.23,916284.07,Paid,REP11,South,2024,8,3,0,Company_403,Enterprise,USA,Philadelphia
INV00155,C0695,2024-11-16,2024-12-16,96971.0,7757.68,10675.35,94053.33,Paid,REP09,International,2024,11,4,0,Company_695,Enterprise,UK,Berlin
INV00156,C0125,2024-02-09,2024-03-10,342034.0,27362.72,32879.09,336517.63,Paid,REP10,International,2024,2,1,0,Company_125,Enterprise,USA,Los Angeles
INV00157,C0217,2024-03-15,2024-04-14,60105.42,4808.43,8655.29,56258.56,Pending,REP17,East,2024,3,1,1,Company_217,Government,Canada,Phoenix
INV00158,C0107,2022-03-06,2022-04-05,814458.98,65156.72,705.0,878910.7,Paid,REP09,South,2022,3,1,0,Company_107,Startup,USA,Dallas
INV00159,C0209,2024-08-09,2024-09-08,56281.84,4502.55,7631.66,53152.73,Paid,REP20,South,2024,8,3,0,Company_209,Government,UK,London
INV00160,C0284,2022-05-14,2022-06-13,218502.02,17480.16,4131.5,231850.68,Overdue,REP14,East,2022,5,2,1,Company_284,Government,USA,New York
INV00161,C0369,2023-05-16,2023-06-15,553358.31,44268.66,65563.48,532063.49,Paid,REP10,East,2023,5,2,0,Company_369,Government,USA,Berlin
INV00162,C0196,2023-06-29,2023-07-29,884081.52,70726.52,7382.9,947425.14,Pending,REP08,West,2023,6,2,1,Company_196,Startup,USA,Los Angeles
INV00163,C0907,2024-05-13,2024-06-12,268561.97,21484.96,7608.47,282438.46,Paid,REP14,North,2024,5,2,0,Company_907,Non-profit,Canada,Chicago
INV00164,C0347,2022-10-06,2022-11-05,535818.87,42865.51,76942.0,501742.38,Paid,REP18,South,2022,10,4,0,Company_347,Startup,UK,Houston
INV00165,C0584,2022-03-10,2022-04-09,1266345.04,101307.6,155816.09,1211836.55,Paid,REP04,South,2022,3,1,0,Company_584,Enterprise,UK,Los Angeles
INV00166,C0749,2023-02-01,2023-03-03,657949.29,52635.94,73825.34,636759.89,Paid,REP02,West,2023,2,1,0,Company_749,Enterprise,UK,Chicago
INV00167,C0278,2023-06-13,2023-07-13,934747.42,74779.79,64828.72,944698.49,Paid,REP16,East,2023,6,2,0,Company_278,Startup,UK,Dallas
INV00168,C0263,2022-07-26,2022-08-25,956590.63,76527.25,86696.6,946421.28,Overdue,REP25,International,2022,7,3,1,Company_263,Non-profit,UK,Berlin
INV00169,C0246,2022-05-24,2022-06-23,78179.38,6254.35,1907.41,82526.32,Overdue,REP17,South,2022,5,2,1,Company_246,Startup,UK,Chicago
INV00170,C0923,2024-07-23,2024-08-22,332314.41,26585.15,30667.38,328232.18,Paid,REP07,South,2024,7,3,0,Company_923,Non-profit,USA,Houston
INV00171,C0879,2022-04-14,2022-05-14,683991.34,54719.31,54877.25,683833.4,Overdue,REP08,East,2022,4,2,1,Company_879,Non-profit,USA,Paris
INV00172,C0493,2024-08-24,2024-09-23,859903.83,68792.31,108543.39,820152.75,Paid,REP10,North,2024,8,3,0,Company_493,Government,UK,Chicago
INV00173,C0470,2022-12-16,2023-01-15,781851.02,62548.08,60686.61,783712.49,Overdue,REP07,South,2022,12,4,1,Company_470,Government,USA,Dallas
