customer_id,recency,frequency,monetary,avg_order_value,total_items,discount_rate,unique_categories,R_score,F_score,M_score,RFM_score,segment
CUST00040,192,1,88.91,88.91,8,0.0,1,2,1,1,4,Lost Customers
CUST00041,74,200,55079.32,275.3966,1019,0.335,10,3,5,5,13,Loyal Customers
CUST00042,81,6,1003.33,167.22166666666666,22,0.3333333333333333,4,3,2,3,8,Potential Loyalists
CUST00043,7,1,81.45,81.45,2,1.0,1,5,1,1,7,Recent Customers
CUST00044,68,1,138.11,138.11,9,0.0,1,4,1,1,6,Recent Customers
CUST00045,199,1,128.12,128.12,5,0.0,1,2,1,1,4,Lost Customers
CUST00046,395,5,357.62,71.524,22,0.2,4,1,2,2,5,Lost Customers
CUST00047,91,107,9542.22,89.17962616822429,532,0.3644859813084112,10,3,5,5,13,Loyal Customers
CUST00048,409,13,1994.4199999999998,153.41692307692307,79,0.23076923076923078,5,1,3,3,7,Potential Loyalists
CUST00049,65,1,7.21,7.21,8,0.0,1,4,1,1,6,Recent Customers
CUST00050,233,1,82.21,82.21,9,0.0,1,1,1,1,3,Lost Customers
CUST00051,133,18,2227.93,123.77388888888888,92,0.2222222222222222,8,2,3,3,8,Potential Loyalists
CUST00052,72,45,12209.86,271.33022222222223,247,0.26666666666666666,10,3,4,5,12,Loyal Customers
CUST00053,88,2,184.97,92.485,8,0.5,2,3,1,1,5,Potential Loyalists
CUST00054,124,28,1942.38,69.37071428571429,118,0.35714285714285715,10,2,4,3,9,At Risk
CUST00055,246,1,130.18,130.18,3,0.0,1,1,1,1,3,Lost Customers
CUST00056,56,22,2311.98,105.09,114,0.2727272727272727,9,4,3,3,10,Loyal Customers
CUST00057,20,6,355.62,59.27,32,0.16666666666666666,4,5,2,2,9,Recent Customers
CUST00058,175,16,3606.2599999999998,225.39124999999999,67,0.125,7,2,3,4,9,Potential Loyalists
CUST00059,85,32,3386.76,105.83625,158,0.34375,9,3,4,4,11,Loyal Customers
CUST00060,16,11,633.5,57.59090909090909,60,0.2727272727272727,4,5,3,2,10,Loyal Customers
CUST00061,760,9,941.6099999999999,104.62333333333332,58,0.4444444444444444,6,1,2,2,5,Lost Customers
CUST00062,91,11,621.7,56.51818181818182,55,0.2727272727272727,7,3,3,2,8,Loyal Customers
CUST00063,106,62,6925.79,111.70629032258064,277,0.3064516129032258,10,2,5,5,12,At Risk
CUST00064,63,13,1105.23,85.01769230769231,74,0.3076923076923077,6,4,3,3,10,Loyal Customers
CUST00065,139,3,230.53,76.84333333333333,25,0.3333333333333333,2,2,1,1,4,Lost Customers
CUST00066,41,28,2593.28,92.61714285714287,162,0.25,8,5,4,4,13,Champions
CUST00067,270,12,1606.39,133.86583333333334,73,0.3333333333333333,5,1,3,3,7,Potential Loyalists
CUST00068,17,12,996.98,83.08166666666666,46,0.3333333333333333,6,5,3,3,11,Loyal Customers
CUST00069,54,200,20411.14,102.0557,1049,0.29,10,4,5,5,14,Champions
CUST00070,36,59,6028.46,102.17728813559322,339,0.2033898305084746,10,5,5,5,15,Champions
CUST00071,33,1,55.29,55.29,6,0.0,1,5,1,1,7,Recent Customers
CUST00072,160,45,3838.86,85.308,238,0.3111111111111111,10,2,4,4,10,At Risk
CUST00073,27,6,526.16,87.69333333333333,35,0.3333333333333333,5,5,2,2,9,Recent Customers
CUST00074,227,6,936.62,156.10333333333332,28,0.5,5,1,2,2,5,Lost Customers
CUST00075,93,22,2209.98,100.45363636363636,113,0.36363636363636365,8,3,3,3,9,Loyal Customers
CUST00076,32,200,18722.69,93.61345,1014,0.325,10,5,5,5,15,Champions
CUST00077,116,17,1532.8999999999999,90.1705882352941,87,0.4117647058823529,7,2,3,3,8,Potential Loyalists
CUST00078,364,15,1711.09,114.07266666666666,73,0.4666666666666667,7,1,3,3,7,Potential Loyalists
CUST00079,98,3,110.13999999999999,36.71333333333333,17,0.3333333333333333,2,3,1,1,5,Potential Loyalists
CUST00080,40,127,13726.26,108.08078740157481,615,0.25196850393700787,10,5,5,5,15,Champions
CUST00081,78,200,20438.04,102.1902,1022,0.305,10,3,5,5,13,Loyal Customers
CUST00082,5,113,11423.08,101.089203539823,534,0.3008849557522124,10,5,5,5,15,Champions
CUST00083,81,112,11792.36,105.28892857142857,577,0.29464285714285715,10,3,5,5,13,Loyal Customers
CUST00084,486,1,26.96,26.96,2,0.0,1,1,1,1,3,Lost Customers
CUST00085,73,9,493.48,54.83111111111111,42,0.4444444444444444,5,3,2,2,7,Potential Loyalists
CUST00086,119,2,75.41,37.705,7,0.0,2,2,1,1,4,Lost Customers
CUST00087,92,9,1959.44,217.71555555555557,49,0.3333333333333333,6,3,2,3,8,Potential Loyalists
CUST00088,292,9,1423.17,158.13,55,0.5555555555555556,5,1,2,3,6,Lost Customers
CUST00089,48,25,2353.39,94.1356,118,0.24,7,4,4,3,11,Champions
CUST00090,227,15,1148.49,76.566,65,0.3333333333333333,8,1,3,3,7,Potential Loyalists
CUST00091,148,42,8787.6,209.22857142857143,218,0.21428571428571427,9,2,4,5,11,At Risk
CUST00092,75,6,887.05,147.84166666666667,24,0.0,4,3,2,2,7,Potential Loyalists
CUST00093,282,4,245.18,61.295,28,0.25,4,1,2,1,4,Lost Customers
CUST00094,70,43,5340.18,124.19023255813954,201,0.37209302325581395,10,4,4,4,12,Champions
CUST00095,863,2,49.870000000000005,24.935000000000002,8,0.0,2,1,1,1,3,Lost Customers
CUST00096,90,64,5671.12,88.61125,289,0.28125,10,3,5,4,12,Loyal Customers
CUST00097,95,6,521.79,86.96499999999999,32,0.16666666666666666,5,3,2,2,7,Potential Loyalists
CUST00098,784,3,165.95,55.31666666666666,6,0.0,2,1,1,1,3,Lost Customers
CUST00099,147,4,580.94,145.235,17,0.5,4,2,2,2,6,Lost Customers
CUST00100,63,1,22.37,22.37,5,0.0,1,4,1,1,6,Recent Customers
CUST00101,39,200,16784.32,83.9216,1032,0.355,10,5,5,5,15,Champions
CUST00102,55,15,1582.88,105.52533333333334,77,0.06666666666666667,9,4,3,3,10,Loyal Customers
CUST00103,340,2,37.86,18.93,9,0.5,1,1,1,1,3,Lost Customers
CUST00104,65,59,6106.37,103.49779661016949,280,0.288135593220339,10,4,5,5,14,Champions
CUST00105,194,1,62.41,62.41,6,0.0,1,2,1,1,4,Lost Customers
CUST00106,194,1,232.95,232.95,4,0.0,1,2,1,1,4,Lost Customers
CUST00107,295,33,3142.24,95.21939393939394,147,0.45454545454545453,8,1,4,4,9,At Risk
CUST00108,138,9,1102.8,122.53333333333333,42,0.4444444444444444,4,2,2,3,7,Lost Customers
CUST00109,102,14,1993.42,142.38714285714286,79,0.21428571428571427,5,2,3,3,8,Potential Loyalists
CUST00110,69,2,204.79,102.395,8,0.0,2,4,1,1,6,Recent Customers
CUST00111,13,1,22.75,22.75,8,0.0,1,5,1,1,7,Recent Customers
CUST00112,265,6,712.3299999999999,118.72166666666665,29,0.16666666666666666,5,1,2,2,5,Lost Customers
CUST00113,322,22,1963.7,89.25909090909092,104,0.36363636363636365,7,1,3,3,7,Potential Loyalists
CUST00114,338,4,512.26,128.065,20,0.25,3,1,2,2,5,Lost Customers
CUST00115,9,177,16517.579999999998,93.31966101694914,894,0.2937853107344633,10,5,5,5,15,Champions
CUST00116,79,34,2276.99,66.97029411764706,146,0.3235294117647059,8,3,4,3,10,Loyal Customers
CUST00117,351,109,11256.37,103.26944954128442,597,0.3302752293577982,10,1,5,5,11,At Risk
CUST00118,44,107,10874.07,101.62682242990654,504,0.29906542056074764,10,4,5,5,14,Champions
CUST00119,72,42,3458.81,82.35261904761904,197,0.4523809523809524,10,3,4,4,11,Loyal Customers
CUST00120,506,6,379.78,63.29666666666666,22,0.8333333333333334,4,1,2,2,5,Lost Customers
CUST00121,43,43,3685.66,85.71302325581395,218,0.37209302325581395,10,4,4,4,12,Champions
CUST00122,144,6,464.77,77.46166666666666,32,0.0,5,2,2,2,6,Lost Customers
CUST00123,54,18,1380.4,76.6888888888889,83,0.2777777777777778,8,4,3,3,10,Loyal Customers
CUST00124,65,16,2010.6299999999999,125.66437499999999,100,0.5625,8,4,3,3,10,Loyal Customers
CUST00125,470,3,313.4,104.46666666666665,12,0.3333333333333333,2,1,1,2,4,Lost Customers
CUST00126,68,5,242.36,48.472,20,0.0,4,4,2,1,7,Recent Customers
CUST00127,86,61,6555.99,107.47524590163934,326,0.2786885245901639,9,3,5,5,13,Loyal Customers
CUST00128,56,15,1490.7,99.38000000000001,82,0.26666666666666666,7,4,3,3,10,Loyal Customers
CUST00129,62,2,71.67,35.835,14,0.0,2,4,1,1,6,Recent Customers
CUST00130,162,7,481.74,68.82000000000001,49,0.42857142857142855,4,2,2,2,6,Lost Customers
CUST00131,37,4,307.52,76.88,18,0.0,2,5,2,2,9,Recent Customers
CUST00132,10,1,36.39,36.39,5,0.0,1,5,1,1,7,Recent Customers
CUST00133,622,3,548.65,182.88333333333333,9,0.3333333333333333,2,1,1,2,4,Lost Customers
CUST00134,392,41,4874.74,118.8960975609756,188,0.24390243902439024,9,1,4,4,9,At Risk
CUST00135,93,17,877.25,51.60294117647059,78,0.4117647058823529,8,3,3,2,8,Loyal Customers
CUST00136,25,68,7512.1,110.47205882352942,307,0.4852941176470588,10,5,5,5,15,Champions
CUST00137,58,70,6122.45,87.46357142857143,314,0.34285714285714286,10,4,5,5,14,Champions
CUST00138,14,12,984.43,82.03583333333333,56,0.3333333333333333,6,5,3,2,10,Loyal Customers
CUST00139,48,24,2123.94,88.4975,145,0.20833333333333334,10,4,4,3,11,Champions
CUST00140,59,1,77.7,77.7,4,1.0,1,4,1,1,6,Recent Customers
CUST00141,57,75,6742.97,89.90626666666667,394,0.26666666666666666,10,4,5,5,14,Champions
CUST00142,104,2,377.96,188.98,15,0.0,2,2,1,2,5,Lost Customers
CUST00143,76,111,11610.68,104.60072072072073,523,0.35135135135135137,10,3,5,5,13,Loyal Customers
CUST00144,90,78,4912.53,62.981153846153845,389,0.3076923076923077,10,3,5,4,12,Loyal Customers
CUST00145,32,20,2633.3,131.66500000000002,103,0.2,9,5,3,4,12,Loyal Customers
CUST00146,43,21,2881.55,137.21666666666667,116,0.2857142857142857,8,4,3,4,11,Loyal Customers
CUST00147,79,39,6234.4800000000005,159.85846153846154,204,0.38461538461538464,10,3,4,5,12,Loyal Customers
CUST00148,25,108,10745.52,99.49555555555555,567,0.3611111111111111,10,5,5,5,15,Champions
CUST00149,257,14,1671.2,119.37142857142858,70,0.21428571428571427,9,1,3,3,7,Potential Loyalists
CUST00150,19,1,123.09,123.09,1,0.0,1,5,1,1,7,Recent Customers
CUST00151,175,1,64.0,64.0,3,1.0,1,2,1,1,4,Lost Customers
CUST00152,287,62,14430.89,232.75629032258064,322,0.3225806451612903,9,1,5,5,11,At Risk
CUST00153,9,39,3334.12,85.4902564102564,184,0.23076923076923078,8,5,4,4,13,Champions
CUST00154,75,200,12222.65,61.11325,985,0.325,10,3,5,5,13,Loyal Customers
CUST00155,86,1,166.31,166.31,4,0.0,1,3,1,1,5,Potential Loyalists
CUST00156,87,5,1546.81,309.36199999999997,29,0.2,4,3,2,3,8,Potential Loyalists
CUST00157,46,118,12528.15,106.1707627118644,650,0.2288135593220339,10,4,5,5,14,Champions
CUST00158,64,1,44.45,44.45,5,0.0,1,4,1,1,6,Recent Customers
CUST00159,70,1,13.58,13.58,3,0.0,1,4,1,1,6,Recent Customers
CUST00160,57,37,4836.95,130.72837837837838,160,0.43243243243243246,10,4,4,4,12,Champions
CUST00161,20,4,191.9,47.975,29,0.0,3,5,2,1,8,Recent Customers
CUST00162,63,13,1155.02,88.84769230769231,57,0.3076923076923077,8,4,3,3,10,Loyal Customers
CUST00163,96,80,8779.9,109.74875,421,0.2625,10,3,5,5,13,Loyal Customers
CUST00164,25,37,4026.61,108.8272972972973,186,0.2702702702702703,10,5,4,4,13,Champions
CUST00165,322,1,208.65,208.65,3,0.0,1,1,1,1,3,Lost Customers
CUST00166,29,7,357.41,51.05857142857143,32,0.14285714285714285,4,5,2,2,9,Recent Customers
CUST00167,71,1,77.55,77.55,7,0.0,1,4,1,1,6,Recent Customers
CUST00168,524,4,238.29999999999998,59.574999999999996,22,0.0,3,1,2,1,4,Lost Customers
CUST00169,462,5,406.84,81.368,33,0.0,2,1,2,2,5,Lost Customers
CUST00170,71,13,2566.7000000000003,197.43846153846155,68,0.3076923076923077,8,4,3,4,11,Loyal Customers
CUST00171,365,68,6714.86,98.74794117647059,345,0.38235294117647056,10,1,5,5,11,At Risk
CUST00172,45,38,3441.04,90.55368421052631,192,0.23684210526315788,9,4,4,4,12,Champions
CUST00173,86,12,1354.8799999999999,112.90666666666665,73,0.16666666666666666,6,3,3,3,9,Loyal Customers
CUST00174,210,4,1342.02,335.505,14,0.5,4,2,2,3,7,Lost Customers
CUST00175,50,49,3747.2799999999997,76.47510204081632,275,0.3469387755102041,10,4,4,4,12,Champions
CUST00176,425,8,805.6,100.7,40,0.5,6,1,2,2,5,Lost Customers
CUST00177,83,1,110.41,110.41,2,0.0,1,3,1,1,5,Potential Loyalists
CUST00178,97,63,6229.49,98.88079365079365,303,0.36507936507936506,10,3,5,5,13,Loyal Customers
CUST00179,24,65,6082.4800000000005,93.5766153846154,343,0.2923076923076923,10,5,5,5,15,Champions
CUST00180,115,2,361.09000000000003,180.54500000000002,13,0.5,1,2,1,2,5,Lost Customers
CUST00181,63,43,4511.29,104.91372093023256,211,0.3023255813953488,10,4,4,4,12,Champions
CUST00182,116,8,348.57,43.57125,49,0.25,6,2,2,2,6,Lost Customers
CUST00183,103,20,2157.63,107.8815,105,0.35,8,2,3,3,8,Potential Loyalists
CUST00184,393,7,635.8199999999999,90.83142857142856,31,0.2857142857142857,5,1,2,2,5,Lost Customers
CUST00185,92,32,3010.84,94.08875,141,0.40625,9,3,4,4,11,Loyal Customers
CUST00186,46,36,3323.3,92.3138888888889,189,0.2222222222222222,10,4,4,4,12,Champions
CUST00187,421,10,711.84,71.184,54,0.3,5,1,2,2,5,Lost Customers
CUST00188,62,144,16234.3,112.73819444444445,753,0.2708333333333333,10,4,5,5,14,Champions
CUST00189,82,1,332.13,332.13,7,0.0,1,3,1,2,6,Potential Loyalists
CUST00190,22,25,2580.42,103.2168,118,0.24,8,5,4,4,13,Champions
CUST00191,7,9,960.84,106.76,56,0.1111111111111111,7,5,2,2,9,Recent Customers
CUST00192,222,7,726.72,103.81714285714285,50,0.42857142857142855,5,2,2,2,6,Lost Customers
CUST00193,322,4,603.86,150.965,14,0.25,2,1,2,2,5,Lost Customers
CUST00194,185,6,723.87,120.645,35,0.5,3,2,2,2,6,Lost Customers
CUST00195,70,42,4234.93,100.83166666666668,213,0.2619047619047619,10,4,4,4,12,Champions
CUST00196,44,14,1537.25,109.80357142857143,69,0.21428571428571427,6,4,3,3,10,Loyal Customers
CUST00197,140,19,1991.98,104.84105263157895,95,0.3684210526315789,8,2,3,3,8,Potential Loyalists
CUST00198,373,18,2154.08,119.6711111111111,97,0.0,7,1,3,3,7,Potential Loyalists
CUST00199,94,14,1225.46,87.53285714285714,82,0.2857142857142857,4,3,3,3,9,Loyal Customers
CUST00200,110,1,45.99,45.99,1,0.0,1,2,1,1,4,Lost Customers
CUST00201,80,117,30016.36,256.5500854700855,590,0.29914529914529914,10,3,5,5,13,Loyal Customers
CUST00202,33,1,91.09,91.09,7,1.0,1,5,1,1,7,Recent Customers
CUST00203,97,44,3752.07,85.27431818181819,191,0.25,9,3,4,4,11,Loyal Customers
CUST00204,58,31,3110.32,100.33290322580646,157,0.2903225806451613,8,4,4,4,12,Champions
CUST00205,311,5,600.43,120.08599999999998,25,0.0,3,1,2,2,5,Lost Customers
CUST00206,52,6,493.43,82.23833333333333,32,0.16666666666666666,6,4,2,2,8,Recent Customers
CUST00207,139,168,17690.24,105.29904761904763,899,0.34523809523809523,10,2,5,5,12,At Risk
CUST00208,116,3,170.95,56.98333333333333,12,0.3333333333333333,3,2,1,1,4,Lost Customers
CUST00209,57,58,14005.74,241.47827586206895,275,0.22413793103448276,10,4,5,5,14,Champions
CUST00210,55,139,30651.29,220.51287769784173,756,0.26618705035971224,10,4,5,5,14,Champions
CUST00211,84,4,183.75,45.9375,15,0.0,3,3,2,1,6,Potential Loyalists
CUST00212,50,61,13423.56,220.0583606557377,317,0.2786885245901639,10,4,5,5,14,Champions
CUST00213,37,136,14449.62,106.24720588235294,675,0.2867647058823529,10,5,5,5,15,Champions
CUST00214,85,3,137.59,45.86333333333334,17,0.0,3,3,1,1,5,Potential Loyalists
CUST00215,40,200,21063.59,105.31795,979,0.33,10,5,5,5,15,Champions
CUST00216,123,4,182.54000000000002,45.635000000000005,24,0.5,3,2,2,1,5,Lost Customers
CUST00217,187,29,2368.25,81.66379310344827,151,0.27586206896551724,8,2,4,3,9,At Risk
CUST00218,80,6,202.62,33.77,35,0.3333333333333333,3,3,2,1,6,Potential Loyalists
CUST00219,63,200,24881.28,124.40639999999999,1031,0.295,10,4,5,5,14,Champions
CUST00220,48,29,2455.59,84.67551724137931,145,0.20689655172413793,8,4,4,3,11,Champions
CUST00221,32,18,1598.7,88.81666666666666,86,0.3888888888888889,6,5,3,3,11,Loyal Customers
CUST00222,165,10,1321.6299999999999,132.16299999999998,54,0.2,4,2,2,3,7,Lost Customers
CUST00223,56,39,5078.5599999999995,130.21948717948717,211,0.2564102564102564,10,4,4,4,12,Champions
CUST00224,121,6,619.54,103.25666666666666,26,0.5,5,2,2,2,6,Lost Customers
CUST00225,131,2,55.69,27.845,8,1.0,2,2,1,1,4,Lost Customers
CUST00226,354,10,469.74,46.974000000000004,47,0.4,7,1,2,2,5,Lost Customers
CUST00227,50,3,677.71,225.90333333333334,17,0.3333333333333333,2,4,1,2,7,Recent Customers
CUST00228,62,5,554.0999999999999,110.81999999999998,22,0.0,4,4,2,2,8,Recent Customers
CUST00229,55,7,744.63,106.37571428571428,34,0.42857142857142855,6,4,2,2,8,Recent Customers
CUST00230,71,6,410.90999999999997,68.485,28,0.3333333333333333,3,4,2,2,8,Recent Customers
CUST00231,85,194,20859.15,107.52139175257733,952,0.31958762886597936,10,3,5,5,13,Loyal Customers
CUST00232,136,1,12.11,12.11,9,1.0,1,2,1,1,4,Lost Customers
CUST00233,34,4,79.64,19.91,20,0.0,4,5,2,1,8,Recent Customers
CUST00234,24,1,24.94,24.94,3,0.0,1,5,1,1,7,Recent Customers
CUST00235,19,81,7799.76,96.29333333333334,398,0.1728395061728395,10,5,5,5,15,Champions
CUST00236,148,14,1171.06,83.64714285714285,77,0.21428571428571427,6,2,3,3,8,Potential Loyalists
CUST00237,707,1,145.01,145.01,6,0.0,1,1,1,1,3,Lost Customers
CUST00238,104,11,1749.9999999999998,159.09090909090907,56,0.36363636363636365,6,2,3,3,8,Potential Loyalists
CUST00239,129,5,422.7,84.53999999999999,22,0.4,2,2,2,2,6,Lost Customers
CUST00240,33,1,28.28,28.28,8,0.0,1,5,1,1,7,Recent Customers
CUST00241,48,4,569.8199999999999,142.45499999999998,18,0.25,3,4,2,2,8,Recent Customers
CUST00242,424,7,301.48,43.06857142857143,32,0.2857142857142857,5,1,2,1,4,Lost Customers
CUST00243,73,49,6019.94,122.85591836734693,260,0.20408163265306123,9,3,4,5,12,Loyal Customers
CUST00244,234,2,69.78,34.89,10,1.0,1,1,1,1,3,Lost Customers
CUST00245,144,1,25.05,25.05,2,1.0,1,2,1,1,4,Lost Customers
CUST00246,58,64,7412.46,115.8196875,343,0.234375,10,4,5,5,14,Champions
CUST00247,11,39,5725.02,146.79538461538462,211,0.3076923076923077,10,5,4,4,13,Champions
CUST00248,67,64,6477.96,101.218125,320,0.3125,10,4,5,5,14,Champions
CUST00249,26,16,5262.4400000000005,328.90250000000003,78,0.375,6,5,3,4,12,Loyal Customers
CUST00250,341,8,317.29,39.66125,37,0.125,5,1,2,2,5,Lost Customers
CUST00251,15,1,17.35,17.35,3,0.0,1,5,1,1,7,Recent Customers
CUST00252,71,54,7124.28,131.9311111111111,285,0.25925925925925924,10,4,4,5,13,Champions
CUST00253,190,18,1335.02,74.16777777777777,88,0.3333333333333333,5,2,3,3,8,Potential Loyalists
CUST00254,38,171,14839.42,86.78023391812866,865,0.25146198830409355,10,5,5,5,15,Champions
CUST00255,54,49,6113.0199999999995,124.75551020408162,247,0.2653061224489796,10,4,4,5,13,Champions
CUST00256,70,6,324.34,54.056666666666665,40,0.16666666666666666,3,4,2,2,8,Recent Customers
CUST00257,91,173,16752.18,96.83341040462427,815,0.27167630057803466,10,3,5,5,13,Loyal Customers
CUST00258,184,3,460.43999999999994,153.48,18,0.0,3,2,1,2,5,Lost Customers
CUST00259,28,13,547.26,42.096923076923076,56,0.38461538461538464,6,5,3,2,10,Loyal Customers
CUST00260,143,6,884.09,147.34833333333333,37,0.16666666666666666,4,2,2,2,6,Lost Customers
CUST00261,263,12,797.6,66.46666666666667,63,0.3333333333333333,6,1,3,2,6,Potential Loyalists
CUST00262,213,2,406.40999999999997,203.20499999999998,12,0.5,2,2,1,2,5,Lost Customers
CUST00263,130,1,43.99,43.99,4,0.0,1,2,1,1,4,Lost Customers
CUST00264,107,26,2690.45,103.47884615384615,125,0.46153846153846156,9,2,4,4,10,At Risk
CUST00265,363,4,315.3,78.825,10,0.0,2,1,2,2,5,Lost Customers
CUST00266,234,10,1111.46,111.146,46,0.0,4,1,2,3,6,Lost Customers
CUST00267,546,5,347.49,69.498,27,0.2,2,1,2,2,5,Lost Customers
CUST00268,206,11,864.46,78.58727272727273,40,0.2727272727272727,4,2,3,2,7,Potential Loyalists
CUST00269,212,1,19.78,19.78,9,0.0,1,2,1,1,4,Lost Customers
CUST00270,36,3,305.0,101.66666666666667,13,0.6666666666666666,3,5,1,1,7,Recent Customers
CUST00271,77,1,79.79,79.79,3,0.0,1,3,1,1,5,Potential Loyalists
CUST00272,112,32,2736.75,85.5234375,160,0.25,9,2,4,4,10,At Risk
CUST00273,78,1,47.13,47.13,9,0.0,1,3,1,1,5,Potential Loyalists
CUST00274,283,1,170.79,170.79,1,0.0,1,1,1,1,3,Lost Customers
CUST00275,11,200,18301.48,91.5074,966,0.28,10,5,5,5,15,Champions
CUST00276,46,28,1592.9,56.88928571428572,130,0.35714285714285715,10,4,4,3,11,Champions
CUST00277,78,25,1749.49,69.9796,146,0.28,9,3,4,3,10,Loyal Customers
CUST00278,402,8,1100.24,137.53,35,0.5,6,1,2,3,6,Lost Customers
CUST00279,57,5,1732.55,346.51,27,0.0,3,4,2,3,9,Recent Customers
CUST00280,52,1,62.32,62.32,8,0.0,1,4,1,1,6,Recent Customers
CUST00281,212,50,4615.23,92.3046,235,0.38,10,2,4,4,10,At Risk
CUST00282,257,13,1179.3500000000001,90.71923076923078,75,0.3076923076923077,5,1,3,3,7,Potential Loyalists
CUST00283,63,27,2588.01,95.85222222222222,137,0.37037037037037035,10,4,4,4,12,Champions
CUST00284,350,9,995.63,110.62555555555555,48,0.3333333333333333,3,1,2,3,6,Lost Customers
CUST00285,114,45,4272.54,94.94533333333334,221,0.2222222222222222,9,2,4,4,10,At Risk
CUST00286,50,141,7255.18,51.45517730496454,724,0.24822695035460993,10,4,5,5,14,Champions
CUST00287,68,10,770.7199999999999,77.07199999999999,50,0.4,7,4,2,2,8,Recent Customers
CUST00288,36,92,9865.76,107.23652173913044,455,0.29347826086956524,10,5,5,5,15,Champions
CUST00289,205,69,8082.3,117.13478260869566,376,0.3333333333333333,10,2,5,5,12,At Risk
CUST00290,41,29,2470.79,85.1996551724138,116,0.27586206896551724,10,5,4,4,13,Champions
CUST00291,108,8,606.67,75.83375,36,0.375,5,2,2,2,6,Lost Customers
CUST00292,176,1,70.79,70.79,5,1.0,1,2,1,1,4,Lost Customers
CUST00293,115,1,45.6,45.6,5,0.0,1,2,1,1,4,Lost Customers
CUST00294,80,69,8383.87,121.5053623188406,338,0.30434782608695654,10,3,5,5,13,Loyal Customers
CUST00295,33,32,2910.41,90.9503125,153,0.28125,7,5,4,4,13,Champions
