date,year,month,quarter,region,category,quantity,unit_price,unit_cost,revenue,profit,profit_margin,customer_id,store_id
2023-11-07,2023,11,Q4,South,Groceries,2,39.88,18.27,103.69,56.19,54.2,C04836,S064
2023-05-17,2023,5,Q2,South,Electronics,5,444.38,246.82,2221.9,987.8,44.5,C00925,S013
2023-01-25,2023,1,Q1,West,Automotive,9,198.55,125.05,1429.56,529.2,37.0,C07410,S005
2024-10-12,2024,10,Q4,West,Groceries,1,43.37,24.93,45.54,19.36,42.5,C03926,S059
2024-03-05,2024,3,Q1,North,Home & Garden,9,118.84,51.34,962.6,546.75,56.8,C08176,S055
2023-06-02,2023,6,Q2,East,Sports,5,118.8,61.38,623.7,301.45,48.3,C07141,S053
2023-11-08,2023,11,Q4,South,Sports,5,86.31,33.55,561.01,342.94,61.1,C04781,S077
2023-03-25,2023,3,Q1,East,Home & Garden,12,106.57,38.01,1150.96,740.45,64.3,C00250,S034
2023-03-14,2023,3,Q1,East,Sports,12,108.07,69.21,1167.16,419.69,36.0,C07902,S057
2023-02-05,2023,2,Q1,North,Electronics,5,396.98,222.79,1548.22,679.34,43.9,C04531,S038
2024-02-03,2024,2,Q1,East,Automotive,2,194.91,93.8,304.06,157.73,51.9,C01332,S038
2024-09-10,2024,9,Q3,South,Toys,10,52.15,33.11,511.07,186.59,36.5,C07044,S010
2022-07-03,2022,7,Q3,West,Beauty,4,56.18,36.18,229.21,81.6,35.6,C05570,S077
2022-05-06,2022,5,Q2,North,Home & Garden,3,129.13,63.02,387.39,198.33,51.2,C06239,S075
2024-06-18,2024,6,Q2,South,Clothing,3,85.28,43.03,268.63,133.09,49.5,C00672,S050
2022-03-02,2022,3,Q1,North,Clothing,5,61.2,27.8,275.4,150.3,54.6,C06678,S021
2024-04-17,2024,4,Q2,East,Electronics,10,464.08,180.35,4408.76,2695.43,61.1,C09946,S045
2024-03-04,2024,3,Q1,East,Beauty,8,72.13,45.17,519.34,194.11,37.4,C03645,S081
2024-11-15,2024,11,Q4,North,Toys,3,33.17,13.69,129.36,75.97,58.7,C00639,S056
2023-12-27,2023,12,Q4,West,Clothing,14,66.55,38.22,1397.55,594.93,42.6,C04622,S059
2024-06-01,2024,6,Q2,International,Sports,14,104.1,37.39,1530.27,980.64,64.1,C03346,S038
2024-01-09,2024,1,Q1,North,Groceries,7,43.38,15.44,242.93,156.46,64.4,C01977,S017
2022-03-27,2022,3,Q1,North,Clothing,1,61.1,30.07,54.99,27.93,50.8,C07562,S067
2022-08-21,2022,8,Q3,North,Groceries,6,49.99,28.68,299.94,127.86,42.6,C06892,S083
2023-03-01,2023,3,Q1,International,Clothing,2,56.62,28.28,101.92,51.01,50.1,C03813,S033
2023-10-24,2023,10,Q4,South,Clothing,4,84.21,31.69,353.68,220.58,62.4,C03736,S055
2024-01-29,2024,1,Q1,North,Electronics,5,485.68,186.31,1942.72,1197.48,61.6,C07490,S084
2022-03-16,2022,3,Q1,West,Toys,1,41.74,23.66,37.57,16.27,43.3,C05561,S066
2024-04-26,2024,4,Q2,East,Groceries,13,55.74,22.64,688.39,408.78,59.4,C09334,S068
2023-12-25,2023,12,Q4,North,Groceries,1,50.73,22.15,76.09,42.87,56.3,C01829,S011
2024-04-24,2024,4,Q2,North,Groceries,2,45.81,23.57,87.04,42.26,48.5,C09866,S044
2024-06-16,2024,6,Q2,West,Clothing,1,51.82,18.18,54.41,35.32,64.9,C02825,S075
2024-06-29,2024,6,Q2,South,Groceries,14,34.86,21.1,512.44,202.27,39.5,C00236,S050
2022-11-30,2022,11,Q4,International,Automotive,2,165.37,61.18,429.96,270.89,63.0,C05416,S064
2024-07-06,2024,7,Q3,West,Electronics,11,439.84,180.55,4935.0,2909.23,59.0,C06942,S035
2023-12-26,2023,12,Q4,North,Clothing,14,69.3,31.72,1455.3,789.18,54.2,C01066,S089
2023-02-06,2023,2,Q1,South,Beauty,14,73.14,39.29,798.69,369.64,46.3,C05985,S023
2023-07-29,2023,7,Q3,North,Groceries,1,43.83,22.33,44.71,21.93,49.1,C03688,S051
2024-11-28,2024,11,Q4,International,Electronics,7,423.98,236.63,3858.22,1704.89,44.2,C07668,S015
2023-04-23,2023,4,Q2,West,Toys,6,49.07,27.58,279.7,122.49,43.8,C00951,S033
2022-07-15,2022,7,Q3,West,Home & Garden,11,147.39,56.14,1653.72,1023.82,61.9,C06029,S031
2024-03-25,2024,3,Q1,North,Beauty,8,57.84,29.61,416.45,203.26,48.8,C02372,S076
2022-05-10,2022,5,Q2,East,Electronics,4,377.97,160.84,1511.88,868.52,57.4,C02117,S020
2022-01-11,2022,1,Q1,South,Automotive,6,196.12,95.82,941.38,481.44,51.1,C08555,S012
2022-08-06,2022,8,Q3,East,Home & Garden,9,105.51,59.91,949.59,410.4,43.2,C03532,S100
2024-10-04,2024,10,Q4,International,Sports,8,98.26,57.13,825.38,345.49,41.9,C06025,S051
2024-11-18,2024,11,Q4,West,Electronics,11,355.46,136.49,5083.08,3131.27,61.6,C03477,S090
2023-02-24,2023,2,Q1,International,Electronics,6,372.12,196.25,1741.52,823.07,47.3,C02709,S047
2024-08-26,2024,8,Q3,North,Sports,9,59.78,26.9,538.02,295.92,55.0,C08767,S025
2022-03-16,2022,3,Q1,East,Toys,11,48.65,23.63,481.63,247.7,51.4,C09147,S051
2023-10-26,2023,10,Q4,North,Home & Garden,5,160.85,73.78,844.46,457.12,54.1,C04758,S026
2022-06-05,2022,6,Q2,East,Clothing,1,89.23,35.21,93.69,56.72,60.5,C03702,S086
2023-04-21,2023,4,Q2,North,Groceries,7,50.25,18.6,334.16,210.47,63.0,C02483,S056
2023-12-24,2023,12,Q4,East,Groceries,1,32.65,16.05,48.97,24.9,50.8,C07187,S018
2024-02-08,2024,2,Q1,East,Sports,2,91.3,45.13,142.43,72.03,50.6,C05798,S051
2024-04-10,2024,4,Q2,South,Electronics,7,476.8,220.28,3170.72,1705.86,53.8,C01482,S083
2022-06-11,2022,6,Q2,North,Groceries,12,57.95,35.36,730.17,284.63,39.0,C00833,S057
2024-01-29,2024,1,Q1,North,Clothing,13,72.57,32.79,754.73,413.71,54.8,C03301,S067
2024-12-10,2024,12,Q4,North,Home & Garden,2,151.65,98.06,454.95,160.77,35.3,C09504,S046
2023-05-06,2023,5,Q2,International,Automotive,6,168.7,73.88,1012.2,568.92,56.2,C00944,S082
2022-01-07,2022,1,Q1,West,Home & Garden,5,86.23,34.87,344.92,205.44,59.6,C01309,S060
2022-03-23,2022,3,Q1,West,Toys,4,37.4,22.35,134.64,54.18,40.2,C04567,S012
2022-09-18,2022,9,Q3,West,Groceries,9,45.24,19.83,399.02,224.12,56.2,C05620,S086
2023-08-16,2023,8,Q3,East,Toys,14,41.19,16.67,576.66,343.28,59.5,C03187,S081
2023-06-10,2023,6,Q2,West,Sports,9,74.84,29.32,707.24,430.16,60.8,C02542,S004
2023-10-28,2023,10,Q4,North,Groceries,7,53.02,31.64,389.7,157.14,40.3,C05476,S041
2024-07-22,2024,7,Q3,South,Electronics,6,448.29,184.66,2743.53,1613.42,58.8,C08042,S086
2022-01-27,2022,1,Q1,International,Toys,8,35.02,18.91,224.13,103.1,46.0,C08647,S010
2024-07-10,2024,7,Q3,West,Groceries,14,32.98,13.19,470.95,282.6,60.0,C01387,S065
2024-03-29,2024,3,Q1,West,Electronics,13,340.38,148.61,3982.45,2243.71,56.3,C07680,S036
2022-07-06,2022,7,Q3,East,Clothing,2,63.55,40.43,129.64,47.16,36.4,C06213,S056
2024-01-21,2024,1,Q1,East,Clothing,11,84.01,53.48,739.29,268.66,36.3,C06123,S098
2022-07-20,2022,7,Q3,North,Sports,9,80.42,38.11,738.26,388.41,52.6,C00061,S043
2022-02-11,2022,2,Q1,North,Groceries,2,56.68,31.65,88.42,39.05,44.2,C03550,S098
2023-06-08,2023,6,Q2,North,Groceries,11,61.81,36.28,713.91,294.87,41.3,C03641,S055
2022-01-12,2022,1,Q1,International,Groceries,8,51.63,29.83,330.43,139.52,42.2,C05605,S080
2023-12-11,2023,12,Q4,International,Automotive,12,170.97,110.5,3077.46,1088.46,35.4,C08045,S026
2022-02-16,2022,2,Q1,East,Electronics,1,289.24,150.52,225.61,108.2,48.0,C00391,S014
2022-12-01,2022,12,Q4,South,Sports,8,117.28,74.27,1407.36,516.12,36.7,C06738,S095
2024-09-16,2024,9,Q3,East,Electronics,11,448.08,161.8,4830.3,3086.1,63.9,C09375,S024
2024-09-21,2024,9,Q3,East,Home & Garden,3,142.49,64.4,418.92,229.58,54.8,C04279,S087
2022-12-30,2022,12,Q4,West,Home & Garden,4,150.42,67.03,902.52,500.34,55.4,C08685,S042
2024-06-12,2024,6,Q2,East,Groceries,2,32.17,19.7,67.56,26.19,38.8,C03811,S039
2024-03-24,2024,3,Q1,West,Groceries,13,32.68,16.14,382.36,193.52,50.6,C00272,S056
2023-01-12,2023,1,Q1,South,Sports,7,90.59,51.61,507.3,218.29,43.0,C03761,S003
2023-01-11,2023,1,Q1,South,Clothing,14,72.3,31.32,809.76,458.98,56.7,C08174,S079
2023-08-08,2023,8,Q3,South,Electronics,4,298.47,189.52,1193.88,435.8,36.5,C09131,S070
2024-03-17,2024,3,Q1,International,Toys,11,53.3,34.47,527.67,186.42,35.3,C07879,S052
2024-02-11,2024,2,Q1,International,Clothing,6,73.15,36.85,342.34,169.88,49.6,C07275,S098
2024-04-04,2024,4,Q2,North,Clothing,3,83.09,49.04,236.81,97.04,41.0,C08246,S047
2023-12-28,2023,12,Q4,International,Toys,10,42.7,18.28,640.5,366.3,57.2,C02467,S050
2024-04-29,2024,4,Q2,North,Sports,3,72.85,30.39,207.62,121.01,58.3,C04676,S014
2024-08-09,2024,8,Q3,North,Clothing,9,47.52,28.78,427.68,168.66,39.4,C09753,S005
2024-08-12,2024,8,Q3,South,Clothing,6,57.32,32.5,343.92,148.92,43.3,C09106,S070
2022-02-06,2022,2,Q1,West,Clothing,5,90.61,33.39,353.38,223.16,63.1,C09517,S096
2022-11-14,2022,11,Q4,West,Home & Garden,8,139.62,71.64,1452.05,706.99,48.7,C01313,S006
2022-08-04,2022,8,Q3,East,Beauty,1,44.56,17.74,44.56,26.82,60.2,C06925,S045
2022-12-22,2022,12,Q4,West,Home & Garden,7,158.06,100.9,1659.63,600.18,36.2,C02809,S031
2023-06-19,2023,6,Q2,West,Electronics,5,427.16,170.11,2242.59,1349.51,60.2,C02404,S002
2023-08-12,2023,8,Q3,North,Groceries,13,50.93,32.82,662.09,235.43,35.6,C02065,S095
2024-05-15,2024,5,Q2,East,Home & Garden,3,94.79,41.23,284.37,160.68,56.5,C05353,S096
2024-09-20,2024,9,Q3,East,Groceries,14,55.24,32.41,757.89,313.23,41.3,C07060,S096
2023-04-29,2023,4,Q2,South,Electronics,1,433.89,244.09,412.2,180.31,43.7,C09078,S065
2022-01-22,2022,1,Q1,North,Home & Garden,2,167.17,92.41,267.47,119.62,44.7,C04812,S036
2024-02-02,2024,2,Q1,West,Electronics,7,261.08,155.72,1425.5,575.27,40.4,C09646,S098
2023-05-31,2023,5,Q2,East,Groceries,7,48.1,28.75,336.7,135.45,40.2,C01099,S032
2024-08-31,2024,8,Q3,North,Clothing,3,88.76,35.09,266.28,161.01,60.5,C00989,S021
2022-10-30,2022,10,Q4,East,Groceries,6,55.44,26.76,349.27,180.68,51.7,C05627,S001
2023-07-24,2023,7,Q3,North,Toys,13,33.61,20.52,445.67,173.57,38.9,C00792,S012
2023-05-07,2023,5,Q2,International,Groceries,14,37.92,14.31,530.88,330.54,62.3,C08712,S079
2024-11-16,2024,11,Q4,West,Beauty,3,69.18,30.32,269.8,151.55,56.2,C05656,S060
2023-01-13,2023,1,Q1,West,Home & Garden,9,84.1,44.53,605.52,284.9,47.1,C01876,S100
2023-06-05,2023,6,Q2,East,Clothing,6,71.98,31.0,453.47,258.17,56.9,C05464,S072
2023-01-30,2023,1,Q1,North,Automotive,5,150.14,70.23,600.56,319.64,53.2,C01390,S095
2022-06-15,2022,6,Q2,West,Clothing,1,88.85,55.3,93.29,35.23,37.8,C00779,S086
2023-02-05,2023,2,Q1,East,Electronics,6,396.45,222.31,1855.39,814.98,43.9,C08906,S040
2022-08-30,2022,8,Q3,East,Clothing,1,85.66,32.1,85.66,53.56,62.5,C06733,S026
2024-07-06,2024,7,Q3,International,Clothing,10,76.87,45.37,784.07,321.3,41.0,C03042,S044
2022-11-13,2022,11,Q4,North,Sports,6,96.19,51.35,750.28,349.75,46.6,C00553,S076
2022-04-21,2022,4,Q2,North,Beauty,4,59.79,31.64,227.2,106.97,47.1,C00022,S026
2024-06-13,2024,6,Q2,East,Home & Garden,10,120.84,68.57,1268.82,548.84,43.3,C07180,S087
2024-06-27,2024,6,Q2,East,Groceries,3,62.24,28.07,196.06,107.64,54.9,C01928,S093
2022-11-05,2022,11,Q4,East,Home & Garden,2,85.75,46.82,222.95,101.22,45.4,C04645,S096
2022-11-08,2022,11,Q4,East,Automotive,10,196.46,81.76,2553.98,1491.1,58.4,C06079,S079
2022-12-19,2022,12,Q4,North,Beauty,5,66.5,38.09,498.75,213.07,42.7,C08596,S037
2023-05-31,2023,5,Q2,West,Sports,12,61.89,37.76,742.68,289.56,39.0,C04704,S036
2024-05-15,2024,5,Q2,International,Groceries,2,56.48,30.87,112.96,51.22,45.3,C01395,S058
2023-09-29,2023,9,Q3,East,Clothing,8,83.54,35.15,654.95,379.38,57.9,C03592,S100
2024-01-22,2024,1,Q1,East,Home & Garden,14,165.6,66.95,1854.72,1104.88,59.6,C04649,S062
2023-01-16,2023,1,Q1,East,Groceries,9,52.37,19.83,377.06,234.29,62.1,C03217,S089
2022-01-28,2022,1,Q1,East,Clothing,1,80.69,31.41,64.55,39.42,61.1,C07063,S047
2022-10-14,2022,10,Q4,North,Clothing,14,60.56,29.35,890.23,458.79,51.5,C03433,S001
2022-05-13,2022,5,Q2,East,Clothing,1,56.99,26.09,56.99,30.9,54.2,C09500,S037
2023-11-18,2023,11,Q4,East,Home & Garden,1,143.25,69.32,186.22,96.11,51.6,C01391,S079
2023-09-12,2023,9,Q3,North,Groceries,14,33.3,16.96,456.88,224.18,49.1,C09236,S026
2024-03-07,2024,3,Q1,North,Home & Garden,5,162.45,72.27,731.02,405.81,55.5,C09201,S051
2024-11-01,2024,11,Q4,International,Electronics,8,413.06,146.72,4295.82,2769.94,64.5,C07474,S029
2024-11-28,2024,11,Q4,East,Groceries,2,42.29,21.55,109.95,53.92,49.0,C06295,S045
2022-11-04,2022,11,Q4,North,Sports,7,69.16,28.11,629.36,373.55,59.4,C09207,S008
2023-10-31,2023,10,Q4,West,Groceries,6,39.54,21.69,249.1,112.45,45.1,C05239,S090
2023-03-03,2023,3,Q1,East,Sports,1,108.94,66.39,98.05,38.3,39.1,C00987,S072
2022-12-11,2022,12,Q4,West,Sports,3,115.48,69.06,519.66,208.89,40.2,C09520,S069
2022-12-27,2022,12,Q4,East,Electronics,2,393.21,175.15,1179.63,654.18,55.5,C07849,S089
2023-11-19,2023,11,Q4,North,Sports,9,65.99,35.97,772.08,351.23,45.5,C03174,S004
2022-01-19,2022,1,Q1,West,Beauty,9,50.71,30.97,365.11,142.13,38.9,C03713,S088
2024-04-01,2024,4,Q2,South,Home & Garden,1,114.78,53.81,109.04,57.92,53.1,C09109,S019
2024-04-07,2024,4,Q2,East,Groceries,1,45.5,16.13,43.23,27.9,64.5,C07011,S072
2024-08-31,2024,8,Q3,East,Home & Garden,3,129.56,82.33,388.68,141.69,36.5,C01178,S025
2022-01-12,2022,1,Q1,East,Electronics,12,361.79,169.43,3473.18,1846.66,53.2,C05446,S046
2023-05-13,2023,5,Q2,East,Sports,5,71.15,25.06,355.75,230.45,64.8,C05244,S015
2024-03-03,2024,3,Q1,South,Home & Garden,4,162.49,74.01,584.96,318.53,54.5,C06013,S068
2024-10-04,2024,10,Q4,West,Groceries,13,56.8,29.07,775.32,378.51,48.8,C07312,S036
2023-11-01,2023,11,Q4,South,Sports,4,108.48,54.97,564.1,278.25,49.3,C01287,S095
2024-11-28,2024,11,Q4,West,Groceries,8,56.49,22.91,587.5,349.23,59.4,C05048,S036
2023-07-13,2023,7,Q3,East,Automotive,6,212.12,112.01,1298.17,612.67,47.2,C03098,S009
2022-01-10,2022,1,Q1,South,Electronics,10,465.51,212.28,3724.08,2025.84,54.4,C03226,S091
2022-02-19,2022,2,Q1,West,Sports,7,99.22,37.57,541.74,336.61,62.1,C03041,S055
2022-08-30,2022,8,Q3,North,Electronics,12,456.39,189.41,5476.68,3203.76,58.5,C08854,S048
2024-03-15,2024,3,Q1,East,Home & Garden,11,103.48,48.35,1024.45,545.79,53.3,C06653,S057
2024-07-09,2024,7,Q3,North,Automotive,5,234.62,113.28,1196.56,618.83,51.7,C06781,S039
2023-04-04,2023,4,Q2,North,Automotive,3,224.45,101.26,639.68,351.09,54.9,C09383,S036
2024-01-14,2024,1,Q1,East,Home & Garden,9,111.16,46.46,800.35,465.84,58.2,C02473,S068
2023-07-15,2023,7,Q3,East,Beauty,12,47.5,24.32,581.4,283.72,48.8,C07398,S072
2022-03-08,2022,3,Q1,South,Groceries,3,37.5,13.71,101.25,64.23,63.4,C05292,S002
2023-09-06,2023,9,Q3,West,Groceries,14,42.01,22.02,576.38,274.26,47.6,C03375,S055
2022-07-27,2022,7,Q3,South,Groceries,7,55.32,25.13,394.98,215.56,54.6,C03720,S084
2023-05-30,2023,5,Q2,North,Toys,12,55.28,19.68,663.36,427.2,64.4,C06100,S065
2022-10-13,2022,10,Q4,East,Groceries,2,56.32,34.32,118.27,46.2,39.1,C01013,S016
2023-04-05,2023,4,Q2,West,Beauty,14,43.03,18.0,572.3,332.9,58.2,C09794,S085
2024-02-09,2024,2,Q1,East,Automotive,11,255.54,110.88,2192.53,1241.18,56.6,C01690,S068
2022-11-07,2022,11,Q4,West,Electronics,6,383.81,179.36,2993.72,1594.71,53.3,C04108,S049
2022-02-11,2022,2,Q1,East,Groceries,14,59.16,36.11,646.03,251.71,39.0,C08326,S067
2024-10-27,2024,10,Q4,North,Clothing,5,46.54,18.44,244.34,147.53,60.4,C02979,S082
2022-09-23,2022,9,Q3,North,Beauty,6,50.58,26.9,297.41,139.24,46.8,C09326,S080
2024-04-01,2024,4,Q2,South,Beauty,3,53.85,21.21,153.47,93.02,60.6,C02530,S008
2024-07-05,2024,7,Q3,North,Electronics,4,264.59,154.26,1079.53,450.15,41.7,C08735,S078
2024-09-15,2024,9,Q3,East,Electronics,13,249.33,132.34,3176.46,1490.45,46.9,C06611,S031
2024-10-07,2024,10,Q4,North,Home & Garden,9,88.89,57.64,840.01,295.31,35.2,C05176,S079
2023-04-02,2023,4,Q2,North,Groceries,5,35.32,15.58,167.77,93.77,55.9,C09075,S007
2023-02-04,2023,2,Q1,East,Electronics,7,301.08,126.39,1643.9,953.81,58.0,C01404,S052
2024-03-30,2024,3,Q1,West,Home & Garden,2,94.98,58.51,170.96,65.65,38.4,C05694,S099
2023-06-03,2023,6,Q2,East,Groceries,7,54.61,31.72,401.38,168.24,41.9,C04482,S062
2023-02-09,2023,2,Q1,South,Electronics,10,411.84,167.58,3212.35,1905.23,59.3,C09093,S065
2024-11-02,2024,11,Q4,North,Electronics,5,293.72,108.5,1909.18,1203.93,63.1,C00672,S036
2023-04-10,2023,4,Q2,East,Electronics,5,451.87,171.45,2146.38,1332.0,62.1,C07962,S068
2023-06-30,2023,6,Q2,West,Clothing,8,82.39,44.01,692.08,322.39,46.6,C03494,S042
2022-01-21,2022,1,Q1,North,Automotive,1,232.22,146.96,185.78,68.21,36.7,C00572,S048
2022-01-29,2022,1,Q1,International,Clothing,12,81.04,48.42,777.98,313.15,40.3,C00776,S059
2023-12-27,2023,12,Q4,East,Home & Garden,12,121.85,74.91,2193.3,844.92,38.5,C07084,S065
2022-03-28,2022,3,Q1,North,Sports,9,103.9,56.91,841.59,380.62,45.2,C08600,S099
2023-10-26,2023,10,Q4,East,Electronics,8,331.55,145.54,2785.02,1562.48,56.1,C09867,S052
2023-02-03,2023,2,Q1,West,Automotive,3,164.38,62.39,384.65,238.66,62.0,C06494,S096
2023-06-04,2023,6,Q2,North,Clothing,12,86.4,50.52,1088.64,452.09,41.5,C08552,S025
2022-11-25,2022,11,Q4,North,Groceries,1,39.55,16.94,51.41,29.39,57.2,C09833,S041
